,A2 sentence,B1 sentence,OR sentence
111,Viele leiden auch unter Einsamkeit und Hoffnungslosigkeit.,Viele leiden auch unter Einsamkeit und Hoffnungslosigkeit. ,"Stattdessen sind die Emotionen junger Menschen seit Ausbruch der Pandemie überwiegend von Langeweile (64,9 Prozent), Stress (63 Prozent), Überforderung (62,5 Prozent), Gefühlen der Einsamkeit (59,9 Prozent), Hoffnungslosigkeit (58 Prozent), Depression (56,7 Prozent) und Wut (52,5 Prozent) geprägt."
112,Die jungen Leute fühlen sich mit ihren Sorgen alleine gelassen.,Die Jugendlichen fühlen sich mit ihren Sorgen alleine gelassen. ,"Die jungen Österreicher sehen sich mit ihren Sorgen alleine gelassen und stellen der Politik ein schlechtes Zeugnis aus, wenn es um ihre Interessen geht."
113,Sie wünschen sich mehrere Dinge.,"Sie wünschen sich wieder mehr Reisen  und wollen wieder in Nachtlokale gehen können, um wieder gemeinsame Erlebnisse mit Freunden zu teilen. ","Auch sonst halten sich die positiven Aussagen der 2.500 im Jänner 2022 befragten Jugendlichen und jungen Erwachsenen im Alter zwischen 14 und 24 Jahren in Grenzen, sie wünschen sich Reisen, Nachgastronomie und gemeinsame Erlebnisse mit Freunden."
114,Zum Beispiel wollen sie wieder mehr Reisen,"Sie wünschen sich wieder mehr Reisen  und wollen wieder in Nachtlokale gehen können, um wieder gemeinsame Erlebnisse mit Freunden zu teilen. ",
115,und wollen wieder in Nacht-Lokale gehen können.,"Sie wünschen sich wieder mehr Reisen  und wollen wieder in Nachtlokale gehen können, um wieder gemeinsame Erlebnisse mit Freunden zu teilen. ",
116,"Viele Haushalte in Österreich haben Schwierigkeiten, ihre Energie-Rechnung zu bezahlen.","Viele Haushalte haben Schwierigkeiten, ihre Energie-Rechnung zu bezahlen. ",
117,Deshalb will die Regierung den Haushalten jetzt helfen.,Deshalb hat die österreichische Regierung einen sogenannten Energie-Kostenausgleich beschlossen. ,"Angesichts der hohen Energiepreise mobilisiert die Regierung rund 600 Millionen Euro für einen Energiekostenausgleich, durch den fast alle heimischen Haushalte einmalig 150 Euro bekommen sollen. "
118,Fast jeder Haushalt soll 1 Mal 150 Euro bekommen.,Fast alle österreichischen Haushalte bekommen einmal 150 Euro. ,"Angesichts der hohen Energiepreise mobilisiert die Regierung rund 600 Millionen Euro für einen Energiekostenausgleich, durch den fast alle heimischen Haushalte einmalig 150 Euro bekommen sollen. "
119,Besonders arme Haushalte bekommen noch 1 Mal 150 Euro dazu.,Bedürftige Haushalte bekommen noch einmal 150 Euro dazu. ,"Außerdem erhalten besonders Bedürftige zusätzlich zur schon beschlossenen Einmalzahlung von 150 Euro noch weitere 150 Euro - das gilt etwa für Arbeitslose, Mindestsicherungs- und Ausgleichszulagenbezieher. "
120,Das gilt zum Beispiel für Arbeitslose.,"Das gilt zum Beispiel für Arbeitslose und Menschen, die Mindestsicherung oder eine sehr niedrige Pension bekommen. ","Außerdem erhalten besonders Bedürftige zusätzlich zur schon beschlossenen Einmalzahlung von 150 Euro noch weitere 150 Euro - das gilt etwa für Arbeitslose, Mindestsicherungs- und Ausgleichszulagenbezieher. "
121,"Es gilt aber auch für Menschen, die Mindest-Sicherung oder eine sehr niedrige Pension bekommen.","Das gilt zum Beispiel für Arbeitslose und Menschen, die Mindestsicherung oder eine sehr niedrige Pension bekommen. ","Damit wolle man ""Notsituationen in den Wintermonaten abwenden"", die Kaufkraft der Menschen erhalten und die aktuell verschärfte Preissituation insbesondere in Bezug auf Energiekosten für die heimischen Haushalte ausgleichen, heißt es zu den ""Sofortmaßnahmen gegen Teuerung"". "
122,,,"Damit wolle man ""Notsituationen in den Wintermonaten abwenden"", die Kaufkraft der Menschen erhalten und die aktuell verschärfte Preissituation insbesondere in Bezug auf Energiekosten für die heimischen Haushalte ausgleichen, heißt es zu den ""Sofortmaßnahmen gegen Teuerung"". "
123,Es gibt wieder weniger Arbeitslose.,Die Zahl der Arbeitslosen in Österreich ist leicht gesunken. ,Die Zahl der Arbeitslosen ist im Vergleich zur Vorwoche leicht gesunken. 
124,Derzeit sind in Österreich 407.000 Menschen arbeitslos.,"Derzeit sind 406.987 Menschen arbeitslos, das sind um 3.520 weniger als noch vor einer Woche. ","Derzeit sind 406.987 Personen beim AMS arbeitslos gemeldet oder in Schulung, das sind um 3.520 Personen weniger als noch vor einer Woche. "
125,Das sind um 3.500 weniger als vor einer Woche.,"Derzeit sind 406.987 Menschen arbeitslos, das sind um 3.520 weniger als noch vor einer Woche. ","Bemerkenswert ist, dass die Arbeitslosigkeit mit derzeit 406.987 arbeitslos gemeldeten Personen inklusive Teilnehmerinnen und Teilnehmern an AMS Schulungen um knapp 23.700 Personen unter dem Niveau der Vergleichswoche 2019 liegt”, erklärte Arbeitsminister Martin Kocher (ÖVP) am Dienstag laut Aussendung. "
126,Es sind sogar um fast 24.000 weniger Arbeitslose als im Jänner 2019.,"Derzeit gibt es sogar um 23.700 weniger Arbeitslose als im Jänner 2019, also vor der Corona-Krise. ","Bemerkenswert ist, dass die Arbeitslosigkeit mit derzeit 406.987 arbeitslos gemeldeten Personen inklusive Teilnehmerinnen und Teilnehmern an AMS Schulungen um knapp 23.700 Personen unter dem Niveau der Vergleichswoche 2019 liegt”, erklärte Arbeitsminister Martin Kocher (ÖVP) am Dienstag laut Aussendung. "
127,2019 war das letzte Jahr vor der Corona-Krise.,"Derzeit gibt es sogar um 23.700 weniger Arbeitslose als im Jänner 2019, also vor der Corona-Krise. ","Positiv sei auch, dass sich die Jugendarbeitslosigkeit nach nationaler Definition auf niedrigerem Niveau als vor der Krise bewege. "
128,Es gibt derzeit auch weniger arbeitslose Jugendliche als vor der Corona-Krise.,Auch die Jugend-Arbeitslosigkeit ist derzeit niedriger als vor der Corona-Pandemie. ,"Ein Anstieg wurde bei den Anmeldungen zur Kurzarbeit verzeichnet, diese kletterten von 114.961 auf 136.995. "
129,,,"Ein Anstieg wurde bei den Anmeldungen zur Kurzarbeit verzeichnet, diese kletterten von 114.961 auf 136.995. "
130,Im Dschungel von der Insel Borneo in Asien leben Orang-Utans.,Auf der Insel Borneo in Asien lebt im Dschungel eine Affenart namens Orang-Utan. ,
131,Orang-Utans sind eine Affenart.,Auf der Insel Borneo in Asien lebt im Dschungel eine Affenart namens Orang-Utan. ,Die Menschenaffen mit normalerweise rotbraunem Fell gelten heute als stark gefährdet oder gar vom Aussterben bedroht. 
132,Orang-Utans haben normalerweise rot-braunes Fell.,Diese Menschenaffen haben normalerweise rot-braunes Fell. ,"Das damals noch namenlose Tier war im April 2017 in einem abgelegenen Dorf entdeckt worden, tief im Inneren der Insel. "
133,Aber im Jahr 2017 wurde ein weißer Orang-Utan gefunden.,Im April 2017 wurde aber in einem Dorf ein weißes Orang-Utan Weibchen gefunden. ,"Eingesperrt in einen winzigen Holzkäfig, verwahrlost, lethargisch, die helle Haut von der Sonne verbrannt. "
134,Das Weibchen war verletzt.,Es war verletzt. ,Alba wurde in einer Station der Tierschutzorganisation Borneo Orangutan Survival (BOS) aufgepäppelt. Dort bekam sie auch ihren Namen: 
135,Pfleger haben das Tier wieder gesund gepflegt.,Das Orang-Utan Weibchen wurde von Pflegern gesund gepflegt und Alba getauft. ,"Der vermutlich einzige weiße Orang-Utan der Welt, ein Weibchen namens Alba, ist zurück im Dschungel von Borneo. "
136,Die Pfleger nannten das weiße Orang-Utan-Weibchen Alba.,Das Orang-Utan Weibchen wurde von Pflegern gesund gepflegt und Alba getauft. ,"Der vermutlich einzige weiße Orang-Utan der Welt, ein Weibchen namens Alba, ist zurück im Dschungel von Borneo. "
137,Jetzt wurde Alba wieder zurück in den Dschungel von Borneo gebracht.,Jetzt wurde Alba zurück in den Dschungel gebracht. ,"Allerdings drohen Gefahren: nicht nur von Raubtieren und Artgenossen, auch von menschlichen Trophäensammlern. "
138,Weiße Orang-Utans wie Alba sind aber sehr selten.,Weiße Orang-Utans sind sehr selten. ,Auch deshalb steht Alba nach der Auswilderung unter besonderem Schutz. 
139,Deshalb könnten Wilderer sie jagen wollen.,"Daher kann es sein, dass Wilderer Alba jagen werden. ","“Insgesamt passen rund um die Uhr, 24 Stunden lang, in verschiedenen Schichten, 24 Dayaks auf sie auf”, sagt Jamartin. "
140,Darum wird Alba Tag und Nacht bewacht.,Sie wird Tag und Nacht von insgesamt 24 Personen bewacht. ,
141,Der Fußball-Klub Rapid hat einen neuen Trainer.,Der österreichische Fußball-Klub Rapid hat mit Ferdinand Feldhofer einen neuen Trainer. ,"Die Trainerfrage bei Fußball-Rekordmeister Rapid ist gelöst. Ferdinand Feldhofer wird ab Montag die Nachfolge von Interimstrainer Steffen Hofmann antreten, der am 10. November nach dem Aus von Dietmar Kühbauer eingesetzt worden war. "
142,Er heißt Ferdinand Feldhofer.,Der österreichische Fußball-Klub Rapid hat mit Ferdinand Feldhofer einen neuen Trainer. ,"Ferdinand Feldhofer wird ab Montag die Nachfolge von Interimstrainer Steffen Hofmann antreten, der am 10. November nach dem Aus von Dietmar Kühbauer eingesetzt worden war. "
143,Feldhofer übernimmt das Amt von Steffen Hofmann.,Feldhofer übernimmt das Amt von Steffen Hofmann. ,
144,Hofmann hat die Mannschaft vorübergehend trainiert.,Hofmann hatte die Mannschaft vorübergehend trainiert. ,
145,Davor war Dietmar Kühbauer der Trainer von Rapid.,Davor war Rapid lange Zeit von Dietmar Kühbauer trainiert worden. ,
146,Er hatte aber in letzter Zeit keinen Erfolg mehr mit Rapid.,"Kühbauer hatte zuletzt aber keinen Erfolg mehr, deshalb musste er Rapid verlassen. ","Für ihn ist es eine Rückkehr, zählte er doch als aktiver Spieler zu jener Mannschaft, die 2005 den Meistertitel holte. "
147,Deshalb musste Kühbauer Rapid verlassen.,"Kühbauer hatte zuletzt aber keinen Erfolg mehr, deshalb musste er Rapid verlassen. ","Für ihn ist es eine Rückkehr, zählte er doch als aktiver Spieler zu jener Mannschaft, die 2005 den Meistertitel holte. Der Ex-WAC-Coach unterschrieb bei den Hütteldorfern am Sonntag einen Vertrag für eineinhalb Jahre mit Option für eine Verlängerung. "
148,Der neue Trainer Feldhofer hat früher selbst für Rapid gespielt.,Der neue Trainer Feldhofer war selbst Spieler bei Rapid. ,Der Ex-WAC-Coach unterschrieb bei den Hütteldorfern am Sonntag einen Vertrag für eineinhalb Jahre mit Option für eine Verlängerung. 
149,Er hat im Jahr 2005 sogar den Meistertitel geholt.,Er holte dort 2005 den Meister-Titel und trainierte auch schon den Fußball-Klub WAC. ,Der 42-Jährige wird sein Debüt auf der Rapid-Trainerbank damit am Sonntag im Heim-Derby gegen die Austria geben. 
150,Außerdem trainierte er auch schon den Fußball-Klub WAC.,Er holte dort 2005 den Meister-Titel und trainierte auch schon den Fußball-Klub WAC. ,Der 42-Jährige wird sein Debüt auf der Rapid-Trainerbank damit am Sonntag im Heim-Derby gegen die Austria geben. 
151,"Feldhofer hat einen Vertrag für 1,5 Jahre unterschrieben.","Feldhofer unterschrieb bei Rapid einen Vertrag für 1,5 Jahre. ",
152,Sein erstes Spiel findet am Sonntag statt.,Das erste Spiel für Feldhofer als Rapid-Trainer findet am Sonntag statt. ,
153,"Der Gegner ist die Wiener Austria, der große Rivale von Rapid.",Der Gegner ist im Heim-Spiel der große Stadt-Rivale von Rapid: die Austria. ,
154,Am Montag hat die Polizei in Graz eine tote Frau bei einem Wohnungs-Brand gefunden.,Die Polizei in Graz hat am Montag bei einem Wohnungsbrand eine tote Frau gefunden. ,Nach dem Fund einer Toten am Montag bei einem Wohnungsbrand in Graz geht die Polizei von einem Gewaltverbrechen aus. 
155,Der Körper der toten 41 Jahre alten Frau zeigte mehrere Gewalt-Spuren.,Die Leiche der 41-jährigen wies deutliche Gewalt-Spuren am ganzen Körper auf. ,Nach dem Fund einer Toten am Montag bei einem Wohnungsbrand in Graz geht die Polizei von einem Gewaltverbrechen aus. 
156,"Deshalb glaubt die Polizei, dass sie ermordet wurde.",Die Polizei geht deshalb von Mord aus. ,"Die 41-Jährige wies deutliche Spuren massiver Gewalteinwirkung am ganzen Körper auf, wie ein Polizist am Dienstag der APA sagte. "
157,Die Untersuchungen sind aber schwierig.,Die Ermittlungen sind schwierig. ,Die Ermittlungen gestalteten sich schwierig. 
158,Die Wohnung der Frau soll ein Messie-Haushalt sein.,Bei der Wohnung soll es sich um einen Messie-Haushalt handeln. ,Es soll sich bei der Wohnung beim Hauptbahnhof um einen Messie-Haushalt handeln. 
159,"Also ein Haushalt, in dem alles Mögliche gesammelt wurde und herum lag.","Also um einen Haushalt, in dem alles Mögliche gesammelt wurde und herum lag. ",
160,Laut Polizei war es kein großer Brand.,Laut Polizei soll es kein großer Brand gewesen sein. ,Ein Nachbar der 41-jährigen Mieterin der Wohnung hatte am Montag gegen 11.00 Uhr im vierten Stock eines Mehrparteienhaus in der Waagner-Biro-Straße Brandgeruch wahrgenommen. 
161,"Aber es konnte noch nicht gesagt werden, ob der Brand absichtlich gelegt wurde.","Ob der Brand möglicherweise gelegt wurde, konnte noch nicht gesagt werden. ","Der Mann verständigte über den Notruf die Einsatzkräfte und sah selbst in der Wohnung nach, deren Tür unversperrt gewesen war. "
162,,,"Ein großer Brand soll es nicht gewesen sein, wie ein Polizeisprecher sagte. "
163,,,"Ob der Brand möglicherweise gelegt wurde, konnte nicht gesagt werden. "
164,Anfang März könnte ein Teil von einer alten Rakete der Firma SpaceX in den Mond krachen.,Laut Berechnung der US-Weltraumbehörde NASA könnte nun Anfang März ein Teil der Rakete in den Mond krachen. ,"Ein Teil einer SpaceX-Rakete könnte nach Berechnungen von Wissenschaftern der US-Raumfahrtbehörde NASA Anfang März mit dem Mond zusammenstoßen. Die Rakete war 2015 vom Weltraumbahnhof Cape Canaveral gestartet und hatte das ""Deep Space Climate Observatory"", einen Erdbeobachtungssatelliten, ins All gebracht. "
165,Das hat die NASA berechnet.,Laut Berechnung der US-Weltraumbehörde NASA könnte nun Anfang März ein Teil der Rakete in den Mond krachen. ,"Danach reichte jedoch der Treibstoff der Raketenstufe nicht aus, um zurück zur Erde zu kommen, weswegen sie seitdem im All unterwegs ist. "
166,NASA ist die Weltraum-Behörde von den USA.,,Ein Teil einer SpaceX-Rakete könnte nach Berechnungen von Wissenschaftern der US-Raumfahrtbehörde NASA Anfang März mit dem Mond zusammenstoßen. 
167,Die Rakete von SpaceX startete im Jahr 2015 in den Weltraum.,2015 ist eine Rakete der Firma SpaceX ins All gestartet. ,"Die Flugbahn der ""Falcon 9""-Raketenstufe werde derzeit beobachtet, sagte eine NASA-Sprecherin am Donnerstag der Deutschen Presse-Agentur. "
168,"Sie hatte aber nicht mehr genug Treibstoff, um zur Erde zurück zu kommen.","Der Treibstoff der Rakete reichte aber nicht mehr aus um zur Erde zurückzukehren, weshalb sie seither im All unterwegs ist. ","Der Aufprall werde von der Sonde ""Lunar Reconnaissance Orbiter"" nicht live beobachtet werden können, hieß es von der NASA. "
169,Seitdem fliegt die Rakete im All.,"Der Treibstoff der Rakete reichte aber nicht mehr aus um zur Erde zurückzukehren, weshalb sie seither im All unterwegs ist. ","Es werde aber untersucht, ob danach Veränderungen auf dem Mond und ein möglicher durch den Aufprall entstandener Krater analysiert werden könnten. "
170,Man kann den Aufprall aber nicht direkt beobachten.,Der Aufprall wird nicht live beobachtet werden können. ,Die Suche nach dem Krater werde eine große Herausforderung und könne Wochen oder sogar Monate dauern. 
171,Aber die Absturz-Stelle wird untersucht werden.,"Allerdings wird untersucht werden, ob danach Veränderungen auf dem Mond erkennbar sind. ",
172,Zuerst muss aber die Absturz-Stelle gefunden werden.,Die Suche nach dem Krater könnte aber Wochen bis Monate dauern. ,
173,Das kann mehrere Wochen oder auch Monate dauern.,Die Suche nach dem Krater könnte aber Wochen bis Monate dauern. ,
174,Jedes Jahr wählt der Fußball-Weltverband FIFA den besten Spieler des Jahres.,Am Montag hat der Fußball-Weltverband FIFA wie jedes Jahr den besten Fußball-Spieler des Jahres gewählt. ,
175,Für das Jahr 2021 wurde Robert Lewandoski aus Polen gewählt.,Gewonnen hat der polnische Fußballspieler Robert Lewandowski. ,Robert Lewandowski vom FC Bayern München ist am Montag zum zweiten Mal in Folge von der FIFA als Weltfußballer des Jahres ausgezeichnet worden. 
176,Damit hat Lewandoski diese Auszeichnung 2 Mal hintereinander gewonnen.,Damit hat Lewandowski die Auszeichnung bereits 2 Mal in Folge gewonnen. ,Robert Lewandowski vom FC Bayern München ist am Montag zum zweiten Mal in Folge von der FIFA als Weltfußballer des Jahres ausgezeichnet worden. 
177,Lewandowski spielt beim deutschen Fußball-Club Bayern München.,Lewandowski spielt für den deutschen Fußball-Club Bayern München. ,Robert Lewandowski vom FC Bayern München ist am Montag zum zweiten Mal in Folge von der FIFA als Weltfußballer des Jahres ausgezeichnet worden. 
178,Zum besten Trainer wurde Thomas Tuchel gewählt.,Zum besten Trainer des Jahres wurde Thomas Tuchel gewählt. ,Chelsea-Coach Thomas Tuchel wurde nach dem Triumph der “Blues” in der Champions League als Welttrainer geehrt. 
179,Der Deutsche ist Trainer von dem englischen Fußball-Club Chelsea.,Tuchel kommt aus Deutschland und ist Trainer des englischen Fußball-Clubs FC Chelsea. ,Chelsea-Coach Thomas Tuchel wurde nach dem Triumph der “Blues” in der Champions League als Welttrainer geehrt. 
180,,,
181,Marko Arnautovic ist ein Fußball-Spieler.,,Marko Arnautovic ist zum ersten Mal zu Österreichs Fußballer des Jahres gekürt worden. 
182,Er spielt in der National-Mannschaft von Österreich.,Arnautovic spielt in der österreichischen Fußball-Nationalmannschaft und in der englischen Fußball-Liga beim Klub West Ham. ,Marko Arnautovic ist zum ersten Mal zu Österreichs Fußballer des Jahres gekürt worden. 
183,Arnautovic spielt auch bei einem englischen Fußball-Klub.,Arnautovic spielt in der österreichischen Fußball-Nationalmannschaft und in der englischen Fußball-Liga beim Klub West Ham. ,Der Wiener gewann die von der APA – Austria Presse Agentur unter den Trainern der zwölf Bundesligisten durchgeführte Wahl mit 36 Punkten klar vor Rekordsieger David Alaba (Bayern München/16 Punkte) und Xaver Schlager (Red Bull Salzburg/10). 
184,Dieser Klub heißt West Ham.,Arnautovic spielt in der österreichischen Fußball-Nationalmannschaft und in der englischen Fußball-Liga beim Klub West Ham. ,Der Wiener gewann die von der APA – Austria Presse Agentur unter den Trainern der zwölf Bundesligisten durchgeführte Wahl mit 36 Punkten klar vor Rekordsieger David Alaba (Bayern München/16 Punkte) und Xaver Schlager (Red Bull Salzburg/10). 
185,Arnautovic ist jetzt zum österreichischen Fußballer des Jahres gewählt worden.,Marko Arnautovic ist zum Fußballer des Jahres in Österreich gewählt worden. ,
186,Er gewann diesen Preis zum 1. Mal.,Arnautovic gewann die Auszeichnung zum 1. Mal. ,
187,Letztes Jahr war Marcel Sabitzer Fußballer des Jahres.,Letztes Jahr gewann Marcel Sabitzer die Wahl. ,"“Er bringt über einen langen Zeitraum auf extrem hohem Niveau Leistungen, die oft den Unterschied ausmachen, im Nationalteam und bei West Ham.” "
188,Davor war David Alaba 6 Mal Fußballer des Jahres.,Von 2011 bis 2016 gewann David Alaba. ,
189,In England ist am Wochenende ein Lokal bei einem Schneesturm eingeschneit worden.,Am Wochenende ist in England ein Pub mit rund 60 Gästen bei einem Sturm eingeschneit worden. ,Wegen Schnee und Wind am Wochenende haben Besucher eines Pubs in Nordengland eine dritte Nacht in einem Pub verbringen müssen. Die rund 60 Gäste waren nach dem Auftritt einer Oasis-Cover-Band am Freitagabend gestrandet. Wegen Schnee und Wind am Wochenende haben Besucher eines Pubs in Nordengland eine dritte Nacht in einem Pub verbringen müssen. 
190,In dem Lokal sind rund 60 Gäste.,,
191,Die Gäste haben jetzt schon 3 Nächte in dem Lokal bleiben müssen.,Die Gäste müssen bereits seit 3 Nächten in dem Pub bleiben. ,
192,Für die Gäste ist das aber anscheinend nicht so schlimm.,Den Gästen scheint das aber nicht viel auszumachen. ,Wegen Schnee und Wind am Wochenende haben Besucher eines Pubs in Nordengland eine dritte Nacht in einem Pub verbringen müssen. 
193,"Die Wirtin sagt, dass die Gäste viel singen und spielen.","Laut der Wirtin vertrieben sich die Gäste die Zeit bisher mit Singen, Rätsel-Raten und Spielen. ",Die rund 60 Gäste waren nach dem Auftritt einer Oasis-Cover-Band am Freitagabend gestrandet. 
194,Sie haben auch genug zu Essen.,Auch zu essen gab es genug. ,
195,Alkohol dürfen die Gäste erst am Nachmittag trinken.,Die Alkoholausschank wurde allerdings beschränkt. ,"Die Pub-Besucher vertrieben sich die Zeit mit Karaoke, Pub-Quiz und Brettspielen, wie Townsend berichtete. "
196,"Man weiß noch nicht, wann die Straßen zu dem Lokal wieder frei sind.","Wann die Straßen zu dem abgelegenen Pub wieder frei sein werden, ist bisher noch unklar. ","“Wir haben eine Menge zu essen”, sagte Townsend dem britischen Sender ITV. "
197,,,"Den Alkoholausschank habe sie auf die Zeit nach 15.00 Uhr beschränkt, fuhr Townsend fort. "
198,,,"Wie die Wirtin des Tan Hill Inn, Nicola Townsend, am Montag im BBC-Radio sagte, sei noch unklar, wann die Straße zu dem im Nationalpark Yorkshire Dales gelegenen Lokal freigeräumt werden kann. "
199,Viele Lebensmittel in Österreich landen im Müll.,In Österreich landen viele Lebensmittel im Müll. ,"1,4 Milliarden Euro sind die Lebensmittel wert, die pro Jahr auf den österreichischen Müllverbrennungsanlagen landen, 1,5 Millionen Tonnen CO2 werden für deren Herstellung ebenso jedes Jahr sinnlos verursacht. "
200,"Jährlich werden Lebensmittel im Wert von 1,4 Milliarden Euro verbrannt.","Jedes Jahr werden Lebensmittel im Wert von 1,4 Milliarden Euro verbrannt. ","1,4 Milliarden Euro sind die Lebensmittel wert, die pro Jahr auf den österreichischen Müllverbrennungsanlagen landen, 1,5 Millionen Tonnen CO2 werden für deren Herstellung ebenso jedes Jahr sinnlos verursacht. "
201,Das hat die Umweltschutz-Organisation Greenpeace gesagt.,Das hat die Umweltschutz-Organisation Greenpeace am Dienstag erklärt. ,"1,4 Milliarden Euro sind die Lebensmittel wert, die pro Jahr auf den österreichischen Müllverbrennungsanlagen landen, 1,5 Millionen Tonnen CO2 werden für deren Herstellung ebenso jedes Jahr sinnlos verursacht. "
202,"Das Verbrennen der Lebensmittel verursacht 1,5 Millionen Tonnen CO2.","Durch das Verbrennen der Lebensmittel werden 1,5 Millionen Tonnen CO2 verursacht. ","Das ergab eine aktuelle Recherche der Umweltschutzorganisation Greenpeace, die am Dienstag publiziert wurde. "
203,"Das ist rund halb so viele Treibhausgase, wie der Flugverkehr in Österreich vor Corona verursachte.","Das ist rund die Hälfte der Menge an Treibhausgasen, die der österreichische Flugverkehr vor der Corona-Krise verursachte. ","Die so emittierten Treibhausgase erreichen rund die Hälfte jener Menge, die der österreichischen Flugverkehr noch vor der Pandemie ausgestoßen hat. "
204,"Greenpeace fordert nun, dass man mehr gegen die Verschwendung von Lebensmitteln tut.",Greenpeace verlangt deshalb wirksame Maßnahmen gegen die Lebensmittel-Verschwendung. ,Greenpeace tritt daher für sanktionierbare und ambitionierte Maßnahmen im von der Regierung angekündigten Aktionsplan gegen Lebensmittelverschwendung ein. 
205,In der US-Stadt New York ist ein Gemälde für rund 45 Millionen Dollar versteigert worden.,In New York ist ein Gemälde des italienischen Malers Sandro Botticelli bei einer Versteigerung für rund 45 Millionen Dollar versteigert worden. ,Ein Gemälde des italienischen Malers Sandro Botticelli (1445-1510) ist bei einer Auktion in New York für rund 45 Millionen Dollar (etwa 40 Millionen Euro) versteigert worden. 
206,Das Bild stammt von dem Maler Sandro Botticelli aus Italien.,In New York ist ein Gemälde des italienischen Malers Sandro Botticelli bei einer Versteigerung für rund 45 Millionen Dollar versteigert worden. ,"Drei Bieter hätten sich einen rund siebenminütigen Wettstreit um das Werk geliefert, teilte das Auktionshaus Sotheby's am Donnerstag mit. "
207,Es ist mehr als 500 Jahre alt und stellt Jesus Christus dar.,"Das Bild stammt aus dem späten 15. Jahrhundert oder dem frühen 16. Jahrhundert. Es ist ein Porträt von Jesus Christus und trägt den Namen: ""The Man of Sorrows"". ","Wer das Renaissance-Gemälde schlussendlich erwarb, wurde zunächst nicht mitgeteilt. "
208,"Der Name von dem Gemälde ist: ""The Man of Sorrows"".","Es ist ein Porträt von Jesus Christus und trägt den Namen: ""The Man of Sorrows"". ","Das im späten 15. oder frühen 16. Jahrhundert entstandene Werk ""The Man of Sorrows"" ist ein Porträt von Jesus Christus und befand sich zuvor in einer Privatsammlung. "
209,"Übersetzt auf Deutsch heißt das ""Der Schmerzensmann"".","Auf Deutsch heißt das Gemälde ""Schmerzensmann"". ","Das im späten 15. oder frühen 16. Jahrhundert entstandene Werk ""The Man of Sorrows"" ist ein Porträt von Jesus Christus und befand sich zuvor in einer Privatsammlung. "
210,Das sind umgerechnet rund 40 Millionen Euro.,,
