,de,en,es,fr,pl
591,"Sie möchte eine offene Kommission sein, die Informationen gegenüber ihrem Haus allenfalls dort beschränkt, wo schützenswürdige Interessen gewahrt werden sollen.",The Commission wants openness and believes that it should only refuse your Chamber access to information where there is a need to preserve interests meriting protection.,La seguridad jurídica así lo exige.,Il serait bon que la Commission publie un registre qui fasse état du montant des aides d'État par État membre.,"Zapewne wielu z nas chciałoby, aby było odwrotnie, to znaczy, aby sytuacja w Birmie była taka, byśmy nie musieli podejmować żadnej rezolucji."
592,"Ich bin zuversichtlich, daß diese Fragen in dem Interinstitutionellen Übereinkommen geregelt werden können.",I am confident that it will be possible to resolve these issues in the interinstitutional agreement.,"Por otra parte, en cuanto al punto d) de la enmienda 10, que se refiere a la primera directiva, usted plantea que, por seguridad pública o por normas de orden público, un Estado miembro pueda rechazar la validez de la tarjeta.",Je regrette aussi que le Parlement européen soit totalement exclu du comité consultatif sur les d'aides d'État.,"W Birmie armia pacyfikuje regiony zamieszkałe przez mniejszości etniczne, regularnie aresztuje działaczy opozycji, szykanuje zwykłych obywateli protestujących przeciwko podwyżkom cen i obniżeniu, i tak już skandalicznie niskiego, poziomu życia."
593,"Die Kommission wird auch den Informationsgehalt ihres Rechnungsabschlusses verbessern, über bestehende rechtliche Verpflichtungen hinaus, wie Sie und der Rechnungshof es fordern.","The Commission also intends to improve the information content of your accounts, above and beyond existing legal requirements, at your request and that of the Court of Auditors.",Ya hay unos controles ex ante que están previstos en el artículo 4 de la directiva.,"Pour compenser cette situation, la Commission européenne se doit de faire, de nous faire, des rapports réguliers.",Co możemy zrobić?
594,"Ich hatte bei der Debatte über den Rechnungshofbericht bereits zugesagt, daß ich diesen Punkt, der auch hier im Bericht enthalten ist, nämlich ein systematisches follow up zu machen, aufnehme, weil ich es für notwendig erachte.","I undertook, back in the debate on the Court of Auditors' report, to take up this point, which also features in this report - namely, carrying out a systematic follow-up - because I consider it to be necessary.","No tiene ningún sentido para cualquier trabajador del ámbito Schengen, pues ya ha sufrido un screening para entrar en el primer Estado miembro, y el segundo Estado miembro puede, ex ante, rechazar de manera justificada la entrada de ese trabajador en su territorio.","Je terminerai sur un aspect de l'utilisation des aides d'État qui me semble particulièrement dangereux : il s'agit des aides qui débouchent sur la délocalisation d'entreprises d'un État membre vers un autre, avec le risque d'une chasse aux subventions qui n'apporte rien aux objectifs communs de l'UE.","Rada Europejska powinna dokładnie przeanalizować słabości systemu sankcji, tak aby stały się one faktycznym i skutecznym orężem walki z birmańskim reżimem politycznym."
595,"Die Kommission hat auf meine Vorlage hin bereits beschlossen, daß die Rechnungsprüfer angewiesen sind, bereits für das Jahr 1999 die Konten so zu führen, daß die Kritik des Rechnungshofes aufgenommen wird, nämlich daß Vorschußzahlungen buchungsmäßig gesondert erfaßt werden, um diese Informationen bereit zu halten.","The Commission has already decided, on the basis of my submission, that the auditors are to take responsibility for looking after the accounts, including those for 1999, in such a way that they take on board the Court of Auditors' criticism; that is to say, advance payments are to be itemised separately, so as to keep this information to hand.","No tiene, pues, sentido mantener esa inseguridad jurídica.","C'est pourquoi je souhaite que le prochain rapport sur les aides d'État comprenne une évaluation de l'effet de ces aides sur l'emploi, ainsi que sur les secteurs de l'industrie et de l'artisanat dans les pays bénéficiaires.","Konieczne są dalsze naciski na Chiny i Rosję, aby w Radzie Bezpieczeństwa ONZ doszło wreszcie do przedyskutowania sytuacji w Birmie."
596,Die Betrugsbekämpfung soll weiter verstärkt werden.,The fight against fraud must be stepped up still further.,"Si no se trata de un Estado Schengen, en el último párrafo de mi enmienda 22, se prevé esa posibilidad, que queda perfectamente recogida, y creo que con una seguridad jurídica mayor.",Rapport Langen (A5-0073/1999),"Ponadto powinniśmy zadbać o to, aby środki pomocowe ze strony Unii Europejskiej w wysokości 65 milionów euro w najbliższych latach trafiały i do obywateli tego kraju, a nie wspierały reżim."
597,Wir haben auch heute vormittag bereits über OLAF kurz gesprochen.,We briefly discussed OLAF this morning.,La discrecionalidad del Estado que usted plantea en el punto e) de su enmienda 10 me parece que no es consistente con todo el texto de su excelente informe.,"Dans l' important débat sur la concurrence, je me suis exprimé, ce matin, sur le texte de M. Langen, relatif à l' application en 1998 du 6e code des aides à la sidérurgie.","autor. - Panie Przewodniczący! Kolejnym krajem, o którym mówimy w tej chwili i w którym dochodzi do łamania podstawowych praw, jest Bangladesz."
598,Die im Haushalt 2000 vorgesehene Aufstockung des Personals darf ich noch mal erwähnen.,I would just like to again mention the staffing increase for which provision has been made in Budget 2000.,"Invito, por tanto, a los colegas a examinar mi enmienda con interés, y espero que mañana podamos llegar a un resultado.","Comme la Cour de justice l' a reconnu dans son ordonnance du 3 mai 1996, le secteur sidérurgique est particulièrement sensible aux perturbations concurrentielles.","I kiedy po tych kolejnych przykładach zastanawiamy się, dlaczego świat, który dzisiaj jest tak bardzo poddany tak zwanej globalizacji, kiedy cały świat jest opleciony siatką organizacji gospodarczych, siatką przede wszystkim organizacji politycznych, dlaczego dzisiaj, kiedy mamy ONZ, kiedy mamy tutaj w Europie Unię Europejską, kiedy mamy tyle organizacji, które deklarują szacunek dla człowieka, dlaczego nie mamy globalizacji podstawowych zasad humanitarnych?"
599,"Frau Stauner, die Klage, die ich heute morgen erwähnt hatte, ist ja nicht nur angekündigt, sondern bereits eingereicht worden.","Mrs Stauner, the complaint I referred to this morning has not only just been announced, in fact it has already been submitted.","Señor Presidente, quiero empezar felicitando al ponente por un informe, que, cuando se lee, da la impresión de que sólo confirma y acepta.","C' est pourquoi il était légitime d' instaurer un régime d' aides à ce secteur ayant pour objet de garantir la survie des entreprises performantes, bien que l' article 4, point c, du traité CECA interdise toute aide d' État à la sidérurgie.",Jest to chyba jednak problem naszych czasów i naszych organizacji.
600,"Ich denke, das zeigt ebenfalls, daß die Kommission nicht bereit ist hinzunehmen, daß einige Institutionen sich dieser Regelung, die vom Parlament und vom Rat beschlossen wurde, entziehen wollen, sondern sie erstreckt sich eben auf alle Institutionen der Europäischen Gemeinschaft.","I believe this also testifies to the fact that the Commission is not prepared to tolerate certain institutions wanting to back out of this regulation, which was passed by Parliament and the Council, rather it applies equally to every single one of the institutions of the European Community.","Sin embargo, detrás de este informe hay un trabajo largo y eficaz que ya ha tenido ciertos frutos: la incorporación al documento de la Presidencia finlandesa de 7 de diciembre de 1999 del compromiso de ampliar la agenda de la Conferencia Intergubernamental al estudio de la futura modificación de la organización, composición y competencias de los tribunales comunitarios.","C' est là, en effet, l' objet du 6e code des aides à l' industrie sidérurgique.","Wszystkich interesuje gospodarka, polityka, ale kiedy chodzi o to, żeby gospodarce i polityce nadać ludzki wymiar, który zaowocuje uwolnieniem od krzywdy zwykłych, prostych ludzi, stajemy wobec tego bezradni."
601,"Schließlich fordern Sie auch eine Verbesserung des Dialogs, mehr Dialog mit den Mitgliedstaaten über notwendige Verbesserungen dort, wo sie über Gemeinschaftsmittel entscheiden.","Finally, you call for dialogue to be improved; more dialogue with the Member States about necessary improvements in those areas where they have the power of decision over Community funds.","Por lo tanto, mi reconocimiento expreso a la labor del vicepresidente Marinho.","Dans le même temps, il importe bien sûr d' éviter toute atteinte aux conditions de concurrence et toute perturbation grave des marchés, d' où l' importance de réglementer ces aides.","Pani Komisarz Reding powiedziała przed chwilą, kiedy mówiliśmy o Birmie, że istnieje niebezpieczeństwo, iż znowu staniemy bezradni, z opuszczonymi rękami wobec tych krzywd."
602,"Auch hier unterstütze ich Ihre Forderungen und werde dort, wo die Kommission betroffen ist, auf ihre Umsetzung achten.",I also second your demands on this point and will see to it that the Commission does what it can to have them implemented.,"Señor Presidente, reformar el sistema judicial comunitario se ha convertido en una necesidad primordial si, en el futuro, se pretende hacer justicia en unos plazos razonables, si, en el futuro, la Unión Europea se quiere dotar de una justicia que esté a la altura del proyecto político que hemos emprendido.","Il est donc nécessaire de continuer à limiter les aides d' État aux aides à la recherche, au développement, à la protection de l' environnement et aux aides accordées en cas de fermeture d' installations.","Jednak powinniśmy sobie zdać sprawę, że jakieś kroki są niezbędne, że brakuje proporcji między skalą naszych działań politycznych, naszych działań gospodarczych, a stanem przestrzegania zwykłych podstawowych praw."
603,"Zu den Fragen betreffend das Ghaza-Krankenhaus und das palästinensische Parlament kann ich Ihnen mitteilen, daß das Ghaza-Krankenhaus für nichtstationäre Patienten ab dem 15. Juli geöffnet und verfügbar sein wird und für stationäre Patienten ab dem 15. Oktober 2000.","As far as the issues surrounding the Gaza hospital and the Palestinian Parliament are concerned, I am able to tell you that the Gaza hospital will be open and available to out-patients as of 15 July and to in-patients from 15 October 2000.","Hoy -lo he de decir con orgullo y con satisfacción- hemos tenido en esta Asamblea una buena oportunidad de demostrar hasta qué punto los europeos creemos que el proyecto político europeo es mucho más que el mercado interior, un proyecto que se funda mucho más en principios que en intereses económicos.","Dans le même ordre d' idée, il est primordial que les États membres s' acquittent de leur obligation de faire rapport à la Commission sur les aides octroyées en faveur de leurs entreprises sidérurgiques, comme le prévoit l' article 7 du code en question.",Na jeszcze jedną rzecz chciałbym zwrócić uwagę: w deklaracji czytamy o występujących między innymi prześladowaniach religijnych.
604,"Zweitens wird die Kommission zum 31. März das Europäische Parlament über die Fortschritte in bezug auf das Krankenhaus und über die Fortschritte bei der Auswahl der consultants informieren, die die Ausschreibungsunterlagen für den Bau des palästinensischen Parlaments vorbereiten werden.","Secondly, the Commission will inform the European Parliament about the progress made in relation to the hospital and in relation to the selection of the consultants who are to prepare the invitations to tender for the construction of the Palestinian Parliament.","Y detrás de los principios, señor Presidente, siempre está la justicia.","La Commission suggère que les États envoient ces rapports dans un délai de deux mois après la fin de chaque semestre, et, en tout cas, sur une base annuelle, sans qu' elle doive le leur rappeler.","Chciałbym zwrócić uwagę, że te prześladowania religijne dotykają z reguły, jeżeli nie zawsze, chrześcijan, a najczęściej katolików, że dzisiaj katolicy są najczęściej prześladowanymi i ponoszącymi śmierć za wiarę przedstawicielami jakiejkolwiek religii na świecie."
605,"Alle Reformmaßnahmen, die ich angesprochen habe, sind Teil eines Gesamtkonzeptes.",All the reform measures I have mentioned are part of a global approach.,"Pero justice delayed is justice denied (justicia aplazada es justicia denegada), y tenemos que reflexionar sobre ello.","Comme le rapporteur, je me suis félicité du rapport de la Commission mais j' ai déploré que ce rapport ne couvre pas tous les aspects des aides.","Trzymajmy się faktów, kiedy mówimy o prześladowaniach, pamiętajmy kto kogo prześladuje."
606,Mein Kollege Kinnock wird Ihnen das Gesamtkonzept im Namen der Kommission vorstellen und über die politischen Prioritäten in dieser Amtsperiode wie auch über das Detailkonzept im Hinblick auf eine konkrete und vor allen Dingen nachprüfbare und nachvollziehbare Zeitplanung sprechen.,"Mr Kinnock is to present the global approach to you on behalf of the Commission and will talk about political priorities of this period of office and enlarge upon the need for firm and, above all, verifiable and comprehensible scheduling.",Hay datos alarmantes en el documento de trabajo preparado por el propio tribunal.,"Bien que le code des aides à la sidérurgie soit formulé de manière très claire, la Commission a, à diverses reprises, autorisé l' octroi à des entreprises sidérurgiques d' aides qui ne relèvent pas des catégories visées par le code.","w imieniu grupy PPE-DE. - Panie Przewodniczący! Sytuacja w Bangladeszu jest niepokojąca, są wszakże podejmowane kroki na rzecz przeprowadzenia wyborów w wyznaczonym terminie."
607,Die Umsetzung dieser Pläne soll insgesamt die Europäische Union und ihre Institutionen schlagkräftiger und transparenter machen.,"Implementation of these plans should make the European Union and its institutions, by and large, more powerful and transparent.","Y a partir de ahí, este proyecto de reforma, del que ha sido ponente el vicepresidente Marinho, sea bienvenido.","Dans un souci d' égalité, il y aurait lieu soit d' appliquer strictement le code des aides, soit de le modifier si la Commission veut autoriser des aides autres que les aides légalement admises actuellement.","Istnieje jednak obawa, że wydany w lipcu w 2007 r przez Komisję Wyborczą plan działania nie zostanie zrealizowany na czas."
608,"Die Aufgabe des Parlaments ist es, insbesondere im Rahmen des Entlastungsverfahrens die Tätigkeit der Kommission zu kontrollieren.","Parliament' s task is to supervise the activities of the Commission, particularly within the framework of the discharge procedure.","Es una solución de parcheo, pero también de parcheo hay que ir viviendo, porque de momento -y él lo ha destacado- no podemos esperar la gran reforma del sistema en la Conferencia Intergubernamental.","Se pose, enfin, le problème des conséquences de l' expiration du traité CECA.","Przypomnijmy, iż misja obserwacyjna Unii Europejskiej skończyła się 22 stycznia, wtedy też ONZ wycofała swoje wsparcie."
609,"Die Kommission ist sich wahrlich bewußt darüber, wie konkret und genau das Europäische Parlament diese Kontrolle durchführt.",The Commission is very well aware of how resolutely and scrupulously the European Parliament is exercising this supervision.,"Tenemos que dar soluciones que, aunque sean provisionales, ayuden a que se haga una justicia más rápida y más eficaz.","Il faudra, en effet, que le système d' aides perdure au-delà de 2002.","Nie możemy zostawić Bangladeszu w takim momencie, musimy wysłać obserwatorów wyposażonych w szerokie kompetencje."
610,"Um so mehr bin ich froh darüber, daß die eingeleiteten Reformmaßnahmen auf Ihre positive Bewertung stoßen und Sie bereit sind, das Entlastungsverfahren für 1997 positiv zu beschließen.",All the more reason for me to be pleased that the reform measures we have introduced meet with your approval and that you are prepared to form a positive judgement of the discharge procedure for 1997.,"Hay dos reflexiones que me gustaría hacer en esta intervención, y que se salen del informe propiamente dicho, debido a la obligación que tiene el Parlamento, de acuerdo con el Tratado, de emitir un informe muy escueto, sin entrar en el fondo.","Je suis d' avis, sur ce point, que seul un règlement du Conseil pourra offrir la sécurité juridique requise et garantir l' interdiction formelle de toutes les aides qui ne sont pas couvertes par le code.",Ponadto obserwatorzy powinni spełniać rolę kontrolną dla przeprowadzonych procesów karnych i zatrzymań zwykłych obywateli.
611,"Herr Präsident! Wenn es um ihre eigene Reform geht, steckt die Europäische Kommission in einer Zwickmühle.","Mr President, when it comes to putting its own house in order, the European Commission is in a Catch-22 situation.","Son dos ideas del vicepresidente Marinho y, creo poder decir, secundadas por toda la Comisión de Asuntos Jurídicos.","Pour toutes ces raisons, j' ai voté en faveur du rapport Langen et j' attends maintenant que la Commission réponde à nos demandes et à nos exigences.",Do szczególnie ważnych należy wywarcie presji na władze celem uwolnienia studentów zatrzymanych podczas protestów 28 sierpnia 2007 r.
612,"Nach den Vorgängen, die zum Rücktritt der früheren Kommission geführt haben, besteht ein enormer Erwartungsdruck.",There is enormous pressure of expectation following the events that led to the resignation of the previous Commission.,"La primera es que se dote de más medios a los jueces de primera instancia, que se les dote de un référendaire más.","(La séance, suspendue à 13h05, est reprise à 15 heures)",Nasza reakcja powinna być natychmiastowa i zawierać kompleksową pomoc. W innym wypadku nie będziemy mogli liczyć na terminowe przeprowadzenie wyborów.
613,"Manchmal habe ich den Eindruck, Vorschläge enthalten auch hier in diesem Haus um so größeren Beifall, je radikaler sie klingen.","I sometimes have the impression that the more radical the proposals made here in this Chamber sound, the more applause they receive.",La segunda es que se separen los servicios de traducción del Tribunal de Primera Instancia de los del Tribunal de Justicia.,"Monsieur le Président, je m'exprimerai au nom du PPE mais aussi en tant qu'élu breton, directement concerné et choqué par ces événements.",w imieniu grupy PSE. - Panie Przewodniczący! Minął prawie rok od ostatniej rezolucji Parlamentu Europejskiego w sprawie Bangladeszu.
614,"Andererseits lassen sich die Verhältnisse eben nicht mit ein paar Federstrichen von jetzt auf nachher ändern, und die Schwierigkeiten beginnen, sobald es an die Umsetzung geht, sobald über die Einzelheiten zu sprechen ist.","There again, it is simply not possible to change situations once and for all with a few strokes of the pen, and the problems begin as soon as we have to start talking about implementation and getting down to brass tacks.","En estos momentos, el Tribunal de Primera Instancia tiene que esperar larguísimo tiempo para que se traduzcan sus sentencias.","Avec Françoise Grossetête et le PPE, nous avons déposé une proposition de résolution.",Mimo wielkich oczekiwań sytuacja wewnętrzna kraju uległa pogorszeniu.
615,"Das ist womöglich die Erklärung dafür, warum wir auch im Ausschuß für Haushaltskontrolle mehr Schwierigkeiten als erwartet mit diesem Thema hatten.",This may explain why we experienced more difficulties than anticipated in the Committee on Budgetary Control as regards this issue.,"Estamos en una comunidad que, en su Tratado, incluye como principio fundador la pluralidad cultural y lingüística y no podemos ni siquiera pensar en suprimir la posibilidad de algo tan importante como leer una sentencia en la propia lengua de cada uno.",Nous voici aujourd'hui avec une proposition de compromis et je m'en réjouis.,"Planowane na styczeń bieżącego roku wybory nie odbyły się i zostały odroczone na koniec 2008 r., a powołany rząd tymczasowy przy wsparciu armii wprowadził stan wyjątkowy."
616,"Trotzdem kann sich das Ergebnis, so wie es jetzt auf dem Tisch liegt, sehen lassen, und ich möchte dem Kollegen van Hulten ausdrücklich für seine Arbeit an diesem Bericht danken.","Nevertheless, the outcome is now on the table and there for all to see, and I would expressly like to thank Mr van Hulten for the work he has done on this report.","Ya que hablamos de la Conferencia Intergubernamental, pensemos sólo en dos cosas.","Le naufrage de l'Erika est en effet une affaire européenne, d'une part, parce qu'il mutile, souille quelques-unes des plus belles plages européennes avec des conséquences très graves pour le tourisme, les professionnels de la mer, les défenseurs de l'environnement, et, d'autre part, parce que ce qui est en cause, c'est la réglementation et le contrôle dont la dimension naturelle est à l'évidence européenne.",Obecna władza otwarcie ogranicza wszelką działalność polityczną oraz wolność prasy i mediów.
617,"Wenn dieser Bericht jetzt nicht noch einmal durch die Annahme von Änderungsanträgen verwässert wird, machen wir damit der Kommission in einigen entscheidenden Punkten klare und unmißverständliche Vorgaben.","Provided this report is not watered-down yet again by the adoption of amendments, it will afford us the opportunity to make clear and unambiguous demands of the Commission on a number of crucial points.",La primera concierne a este Parlamento.,"Une telle catastrophe, presque à coup sûr, ne se serait pas produite au large des côtes américaines.","Wśród osób aresztowanych jest już dwóch byłych premierów, 160 znaczących polityków i ponad 100 tysięcy cywilów."
618,Lassen Sie mich mit der wichtigsten Vorgabe anfangen.,Allow me to start with the most important demand.,"Creo que no es ocioso insistir en que queremos más participación en lo que respecta al Tribunal de Justicia, incluso en el nombramiento mismo de los jueces.","Pourquoi ? Parce que les Américains ont su tirer la leçon de la catastrophe de l'Exxon Valdez et qu'ils ont élaboré en 1990 l'Oil Pollution Act qui est à la fois plus responsabilisant puisqu'il peut impliquer la responsabilité de l'affréteur, plus contraignant et surtout mieux contrôlé au travers de diverses réglementations et notamment de l'existence du corps des gardes-côtes américains.",W sierpniu bieżącego roku wielkie zaniepokojenie społeczności międzynarodowej wywołało brutalne stłumienie przez wojsko protestów studenckich na Uniwersytecie w Dhace.
619,Wir wollen keine Abschaffung der Finanzkontrolle.,We do not want financial control to be abolished.,"Y queremos, sobre todo y ante todo, que el Tribunal de Justicia vea ampliadas sus competencias y paralelamente su capacidad para hacer frente a sus obligaciones, es decir, sus medios.","Si nous avions eu de telles dispositions, je le répète, la catastrophe ne se serait sans doute pas produite.","W świetle powyższych zdarzeń Rada i Komisja Europejska powinny uważnie monitorować sytuację, postulując przede wszystkim przywrócenie działalności niezawisłych instytucji i partii politycznych w Bangladeszu."
620,"Es muß auch weiterhin möglich sein, daß der Finanzkontrolleur prüft, bevor Mittelbindungen oder Zahlungen erfolgen, nicht in jedem Fall, aber immer da, wo Unsicherheiten oder Risiken bestehen.","The financial controller should still be able to make checks before funding commitments or payments are made, not in every case, but wherever uncertainties or risks arise.","Queremos ver ampliadas sus competencias, especialmente en el título IV del Tratado de la Comunidad Europea y respecto del título VI del Tratado de la Unión, y que se revisen, de paso, algunas posibilidades de opción, algunas limitaciones claras de la protección en esos ámbitos tan extraordinariamente importantes para nuestra ciudadanía.","Voilà pourquoi nous pensons qu'il faut revoir les textes applicables et, notamment, le protocole de 1992 qui a exonéré les affréteurs, en l'occurrence le pétrolier affréteur, de toute responsabilité.","Niezbędnym wydaje się wysłanie kolejnej misji obserwacyjnej i pomocy technicznej, które mogą skutecznie pomóc w przygotowaniach do przeprowadzenia wolnych demokratycznych wyborów."
621,"Hier gibt die Kommission die falschen Signale, etwa wenn sie die Generaldirektion Finanzkontrolle in Generaldirektion Audit umbenennt.","The Commission is sending out the wrong signals here, by renaming the Directorate-General for Financial Control as the Directorate-General for Audits, for example.",Y vuelvo hacer referencia a las recientes declaraciones que hemos presenciado en estos días.,"Or, si l'affréteur est exonéré, il est bien sûr moins impliqué dans les contrôles à charge des compagnies pétrolières.",Tylko połączone wysiłki wszystkich zaangażowanych stron pozwolą na prawdziwą stabilizację sytuacji w Bangladeszu.
622,"Das Organigramm der Kommission läßt sich wohl leicht ändern, aber schwieriger wird es dann, wenn sie an die Rechtstexte, also insbesondere an die Haushaltsordnung geht.","It may well be easy enough to change the Commission' s organisation chart but it is a different matter when it comes to the legal texts, particularly those relating to budgetary discipline.","Señor Presidente, desde el año 1997 se está discutiendo esta directiva.","Il faut donc revoir la réglementation et je vous remercie, Madame la Commissaire, d'avoir pointé toutes les insuffisances actuelles des dispositions européennes.","autor. - Panie Przewodniczący! Rozwój międzynarodowego prawa humanitarnego, trybunały powoływane do osądzania zbrodni wojennych i zbrodni przeciwko ludzkości były wielkim osiągnięciem społeczności międzynarodowej po drugiej wojnie światowej."
623,"Ich habe nicht genau nachgezählt, aber die Haushaltsordnung der Gemeinschaft und die dazu gehörigen Ausführungsbestimmungen sprechen an fast 100 verschiedenen Stellen vom Finanzkontrolleur, seiner Unabhängigkeit und den ihm zugewiesenen Aufgaben.","I do not have exact figures, but the Community' s budgetary discipline and the associated implementing provisions apply to almost 100 different areas of responsibility of the financial controller, to his or her independence and the tasks assigned to this office.",Ya era hora de que llegáramos a un acuerdo.,"Par ailleurs, il nous faut surtout, vous l'avez dit, renforcer les contrôles : ceux de l'État du pavillon, ceux des sociétés de classification.","W dobie globalizacji ich rola jeszcze bardziej wzrosła, szczególnie na terytoriach, gdzie władza państwowa nie jest w stanie skupić centralnego autorytetu wokół rządów prawa i zapewnić podstawowego bezpieczeństwa ludności tych terytoriów."
624,"Das kann nicht ignoriert oder umgangen werden, auch nicht mit sogenanntem soft law, wie es einmal in einer Sitzung unseres Ausschusses angeklungen ist.","This cannot be ignored or evaded, certainly not on account of soft law, as was once suggested at a meeting of our Committee.","Como comparto más o menos lo dicho por mi compañero Sjöstedt y por el representante de los Verdes De Roo, no voy a utilizar los dos minutos de que dispongo y hacer hincapié en sólo dos cuestiones.",Vous nous avez dit que le RINA était un registre de classification italien reconnu par la Commission.,Trybunał specjalny dla Sierra Leone odgrywa ważną rolę dla pokoju i sprawiedliwości w regionie rzeki Mano w zachodniej Afryce.
625,"Unabhängig von solchen rechtlichen Erwägungen wäre es auch von der Sache her ein unverzeihlicher Fehler, die Finanzkontrolle im klassischen Sinn ausgerechnet in dem Moment abzuschaffen, wo die dafür Zuständigen in der Kommission endlich nicht mehr allein auf weiter Flur stehen, sondern Glied einer Kette von funktionierenden Kontroll- und Untersuchungsmechanismen werden können.","Irrespective of such legal considerations, it would be an unforgivable mistake, under the circumstances, to scrap financial control in the traditional sense at the very moment when those responsible for such matters in the Commission are, at long last, no longer out on a limb but set to become part of a chain of functioning supervisory and investigatory mechanisms.","En primer lugar, y es quizás lo fundamental de la propuesta, la idea, consustancial al reciclaje y utilización de los residuos, de que se utilicen materiales que después puedan contaminar menos.",Dans quelles conditions se fait cette reconnaissance ?,"Chciałbym zwrócić uwagę na podjęcie przez ten trybunał także programów archiwizacji i tłumaczenia dokumentów informujących o prowadzonych przez niego pracach, oraz na programy ochrony ofiar."
626,"Nach unseren Vorstellungen greifen künftig drei Mechanismen ineinander, die unabhängige Vorabkontrolle durch den Finanzkontrolleur, die begleitende und nachgängige Kontrolle durch den neu zu schaffenden internen Prüfdienst, auch Audit-Dienst genannt, und schließlich durch das gezielte Aufspüren von Unregelmäßigkeiten durch das neue Betrugsbekämpfungsamt OLAF.","As we see it, there will be a dovetailing of three mechanisms in the future: a system of independent prior approval by the financial controller, concomitant and follow-up control by the internal audit service - also known as the audit service - which has yet to be set up, and finally, there will be the targeted tracking-down of irregularities by OLAF, the new anti-fraud office.","Otro punto importante es que los residuos no debieran incinerarse ni triturarse, pero no sólo los que contienen plomo, cadmio y mercurio, sino también los que tienen PVC.",Quelles sont les garanties de fiabilité ?,Tego typu działalność posiada podstawowe znaczenie dla tworzenia rządów prawa w Afryce Zachodniej w dalekiej perspektywie czasowej.
627,"Es ist gut, daß der Bericht des Kollegen van Hulten den Zusammenhang zwischen allen drei Bereichen herstellt und auch deutlich macht, wo die entscheidenden Defizite liegen, die anzugehen sind.","It is to be welcomed that Mr van Hulten' s report makes the connection between all three areas and also makes it clear as to where the crucial shortcomings lie, which must be tackled.",Hay una discusión en este Parlamento sobre ese tema en otro ámbito.,Vous allez envoyer une mission.,"W dzisiejszej rezolucji w sprawie finansowania trybunału specjalnego dla Sierra Leone Parlament Europejski apeluje do Komisji, do wszystkich instytucji europejskich i państw członkowskich o zagwarantowanie finansowych podstaw pozwalających na spokojne i poważne dokończenie prac trybunału."
628,"Ich sage nur in Stichworten: Die Disziplinarverfahren greifen nicht, insbesondere wenn es darum geht, Beamte für ihr Fehlverhalten auch finanziell zur Rechenschaft zu ziehen.","A few salient points: the disciplinary procedures are not taking effect, especially when it comes to calling officials to account for their misdemeanours, including those of a financial nature.",La otra cuestión se refiere a quién debe pagar los gastos.,Nous en attendons les résultats avec beaucoup d'intérêt.,"autor. - Panie Przewodniczący! Tak się składa, że w najbliższy weekend w Sierra Leone odbędzie się kolejna tura wyborów parlamentarnych i mogę tylko wyrazić ubolewanie, że nie będzie tam delegacji Parlamentu Europejskiego, która była wcześniej planowana."
629,"Es gibt eine große Grauzone und viel Unklarheiten, wenn es um strafrechtliche Sanktionen geht, und gerade hier ist das, was wir von der Kommission an Ankündigungen bekommen haben, eher vage.","There is a large grey area and a great lack of clarity where criminal sanctions are concerned, and it is precisely in this area that the announcements made by the Commission are rather vague.",Yo estoy de acuerdo con los oradores anteriores cuando dicen que quien contamina paga y nunca mejor dicho que en esta propuesta.,"Il faut également renforcer les contrôles des autorités maritimes, le contrôle dans les ports européens.",Dlaczego trybunał specjalny dla Sierra Leone jest tak ważny?
630,"Ich kann nur unterstreichen, daß dies die wirklich harten Nüsse sind, die endlich geknackt werden müssen!",I can only emphasise that these are the really hard nuts that finally need to be cracked.,"Deben pagar los productores, aunque todos sabemos que al final quizá el gasto vaya a repercutir en los consumidores, y deben de hacerse cargo de los costes antes del 2006 como proponen algunas de las enmiendas.","Il existe, il faut le rappeler, un mémorandum de Paris, qui implique un minimum de contrôle, un quart des bateaux relâchant dans les ports européens devant être contrôlés par les autorités maritimes du pays concerné.","Nie chodzi bowiem wyłącznie o jeden z wielu afrykańskich krajów ze zbrodnią i gwałtem w tle, ale o prestiż i rozwój międzynarodowego wymiaru sprawiedliwości w zakresie sądownictwa karnego."
631,"Herr Präsident, die Kommission Santer ist auch deshalb gescheitert, weil die Finanzkontrolle auf der ganzen Linie versagt hat.","Mr President, the Santer Commission came to grief because financial control failed all down the line.",Estamos más de acuerdo con la enmienda de la primera lectura.,"Cette obligation n'est pas respectée, ni en France, ni dans beaucoup d'autres pays européens.","W ostatnim czasie zanotowaliśmy, powiedzmy sobie wprost, dwie spektakularne porażki właśnie tego ponadnarodowego wymiaru sprawiedliwości: chodzi o nieskuteczną próbę osądzenia Slobodana Miloszewicza i o bardziej niż kontrowersyjne okoliczności śmierci Saddama Husajna."
632,"Die Zukunft dieser neuen Kommission wird also nicht unwesentlich davon abhängen, inwieweit hier schnell Reformen stattfinden und die Finanzkontrolle wieder funktionsfähig wird.","Therefore, the future of this new Commission will depend in no small measure on the extent to which reforms are swiftly undertaken here and financial control is back in working order.",Es importante también fijar el tanto por ciento y la fecha en que los vehículos habrán de tener materiales reciclables.,Pourquoi ?,"Gdyby po tych dwóch prestiżowych wpadkach doszło do kolejnej kompromitacji w postaci przerwania funkcjonowania trybunału z powodu braku finansów, byłby to ""gwóźdź do trumny” międzynarodowego wymiaru sprawiedliwości w sprawach karnych."
