,en,de
106,"We had been so accustomed to admire or gently ridicule the family man’s kind concern and earnest concentration on the welfare of his family, his solemn determination to make life easy for his wife and children, that we hardly noticed how the devoted paterfamilias, worried about nothing so much as his security, was transformed under the pressure of the chaotic economic conditions of our time into an involuntary adventurer, who for all his industry and care could never be certain what the next day would bring.","Wir sind so gewohnt gewesen, in dem Familienvater die gutmütige Besorgtheit, die ernste Konzentriertheit auf das Wohl der Familie, die feierliche Entschlossenheit, Frau und Kindern das Leben zu weihen, zu bewundern oder zu belächeln, daß wir kaum gewahr wurden, wie der treusorgende Hausvater, der um nichts so besorgt war wie Sekurität, sich unter dem Druck der chaotischen ökonomischen Bedingungen unserer Zeit in einen Abenteurer wider Willen verwandelte, der mit aller Sorge des nächsten Tages nie sicher sein konnte."
107,The docility of this type was already manifest in the very early period of Nazi “Gleichschaltung.”,Seine Docilität war in den Gleichschaltungen zu Beginn des Regimes bereits bewiesen worden.
108,"It became clear that for the sake of his pension, his life insurance, the security of his wife and children, such a man was ready to sacrifice his beliefs, his honor, and his human dignity.","Es hatte sich herausgestellt, daß er durchaus bereit war, um der Pension, der Lebensversicherung, der gesicherten Existenz von Frau und Kindern willen Gesinnung, Ehre und menschliche Würde preiszugeben."
109,It needed only the Satanic genius of Himmler to discover that after such degradation he was entirely prepared to do literally anything when the ante was raised and the bare existence of his family was threatened.,"Es bedurfte nur noch der teuflischen Genialität Himmlers, um zu entdecken, daß er nach solcher Degradierung aufs beste präpariert war, wortwörtlich alles zu tun, wenn man den Einsatz erhöhte und die nackte Existenz der Familie bedrohte."
110,The only condition he put was that he should be fully exempted from responsibility for his acts.,"Die einzige Bedingung, die er von sich aus stellte, ist, daß man ihn von der Verantwortung für seine Taten radikal freisprach."
111,"Thus that very person, the average German, whom the Nazis notwithstanding years of the most furious propaganda could not induce to kill a Jew on his own account (not even when they made it quite clear that such a murder would go unpunished) now serves the machine of destruction without opposition.","Es ist der gleiche Durchschnittsdeutsche, den die Nazis trotz wahnsinnigster Propaganda durch Jahre hindurch nicht dazu haben bringen können, einen Juden auf eigene Faust totzuschlagen (selbst nicht, als sie es ganz klar machten, daß solch ein Mord straffrei ausgehen würde), der heute widerspruchslos die Vernichtungsmaschinen bedient."
112,"In contrast to the earlier units of the SS men and Gestapo, Himmler’s over-all organization relies not on fanatics, nor on congenital murderers, nor on sadists; it relies entirely upon the normality of jobholders and family men.  ","Im Gegensatz zu den früheren Formationen von SS und Gestapo rechnet die Himmlersche Gesamtorganisation weder mit Fanatikern noch mit Lustmördern noch mit Sadisten, sie rechnet einzig und allein     mit der Normalität von Menschen vom Schlage Herrn Heinrich Himmlers."
113,"We need not specially mention the sorry reports about Latvians, Lithuanians, or even Jews who have participated in Himmler’s murder organization in order to show that it requires no particular national character in order to supply this new type of functionary.","Daß kein besonderer Nationalcharakter erforderlich ist, um den neuesten Typ des Funktionärs zum Funktionieren zu bringen, bedarf wohl nach den traurigen Nachrichten über Letten, Litauer, Polen und sogar Juden in Himmlers Mordorganisation keiner besonderen Erwähnung."
114,They are not even all natural murderers or traitors out of perversity.,Sie alle sind nicht von Natur Mörder und nicht aus Perversion Verräter.
115,It is not even certain that they would do the work if it were only their own lives and future that were at stake.,"Es ist noch nicht einmal sicher, ob sie funktioniert hätten, wenn nur ihr eigenes Leben und ihre eigene Existenz auf dem Spiel gestanden hätten."
116,"They felt (after they no longer needed to fear God, their conscience cleared through the bureaucratic organization of their acts) only the responsibility toward their own families.","Sie fühlten sich, nachdem sie Gott nicht mehr fürchteten und ihr Gewissen ihnen durch den Funktionscharakter ihrer Handlungen abgenommen war, nur noch ihrer Familie verantwortlich."
117,"The transformation of the family man from a responsible member of society, interested in all public affairs, to a “bourgeois” concerned only with his private existence and knowing no civic virtue, is an international modern phenomenon.","Die Verwandlung des Familienvaters aus einem an den öffentlichen Angelegenheiten interessierten, verantwortlichen Mitglied der Gesellschaft in den Spießer, der nur an seiner privaten Existenz hängt und öffentliche Tugend nicht kennt, ist eine moderne internationale Erscheinung."
118,"The exigencies of our time-“bedenkt den Hunger und die grosse Kaelte in diesem Tale, das von Jammer schallt” (Brecht)-can at any moment transform him into the mob man and make him the instrument of whatsoever madness and horror.","Die Nöte unserer Zeit - »bedenkt den Hunger und die große Kälte in diesem Tale, das von Jammer schallt« (Brecht) - können ihn jeden Tag zum Spielball allen Wahnsinns und aller Grausamkeit machen."
119,"Each time society, through unemployment, frustrates the small man in his normal functioning and normal self-respect, it trains him for that last stage in which he will willingly undertake any function, even that of hangman.","Jedesmal, wenn die Gesellschaft in der Erwerbslosigkeit den kleinen Mann um sein normales Funktionieren und seine normale Selbstachtung bringt, bereitet sie ihn auf jene letzte Etappe vor, in der er jede Funktion, auch den ›job‹ des Henkers zu übernehmen bereit ist."
120,"A Jew released from Buchenwald once discovered among the SS men who gave him the certificates of release a former schoolmate, whom he did not address but yet stared at.","Ein aus Buchenwald entlassener Jude entdeckte unter den SS-Leuten, die ihm seine Entlassungspapiere aushändigten, einen ehemaligen Schulkameraden, den er nicht ansprach, wohl aber ansah."
121,"Spontaneously the man stared at remarked: You must understand, I have five years of unemployment behind me.","Darauf sagte der so Betrachtete sehr spontan: Du mußt verstehen - ich habe fünf Jahre Erwerbslosigkeit hinter mir, mit mir können sie alles machen."
122,They can do anything they want with me.  ,
123,"It is true that the development of this modern type of man, who is the exact opposite of the “citoyen” and whom for lack of a better name we have called the “bourgeois,” enjoyed particularly favorable conditions in Germany.","Es ist richtig, daß dieser moderne Typus Mensch, den wir mangels eines besseren Namens noch mit dem alten Wort Spießer bezeichnet haben, auf deutschem Boden eine besonders gute Chance des Blühens und Gedeihens hatte.     "
124,Hardly another country of Occidental culture was so little imbued with the classic virtues of civic behavior.,"Kaum ein anderes der abendländischen Kulturländer ist von den klassischen Tugenden des öffentlichen Lebens so unberührt geblieben, in keinem haben privates Leben und private Existenz eine so große Rolle gespielt."
125,In no other country did private life and private calculations play so great a role.,
126,"This is a fact which the Germans in time of national emergency disguised with great success, but never altered.","Diese Tatsache haben die Deutschen in Zeiten nationaler Not immer wieder mit viel Erfolg verschleiert, aber nicht geändert."
127,"Behind the facade of proclaimed and propagandized national virtues, such as “love of the Fatherland,” “German courage,” “German loyalty,” etc., there lurked corresponding real national vices.","Hinter der Fassade behaupteter und propagierter »Nationaltugenden« wie »Vaterlandsliebe«, »deutscher Mut«, »deutsche Treue« usw. verstecken sich entsprechende wirklich existierende National-Laster."
128,"There is hardly another country where on the average there is so little patriotism as Germany; and behind the chauvinistic claims of loyalty and courage, a fatal tendency to disloyalty and betrayal for opportunistic reasons is hidden.  ","Es gibt kaum irgendwo durchschnittlich so wenig Patriotismus wie gerade in Deutschland, und hinter der chauvinistischen Anmaßung von »Treue« und »Mut« verbirgt sich ein verhängnisvoller Hang zur Untreue und zum Verrat aus Opportunismus."
129,"The mob man, however, the end-result of the “bourgeois,” is an international phenomenon; and we would do well not to submit him to too many temptations in the blind faith that only the German mob man is capable of such frightful deeds.","Der Spießer selbst aber ist eine internationale Erscheinung, und wir täten gut daran, ihn nicht im blinden Vertrauen, daß nur der deutsche Spießer solch furchtbarer Taten fähig ist, allzusehr in Versuchung zu führen."
130,"What we have called the “bourgeois” is the modern man of the masses, not in his exalted moments of collective excitement, but in the security (today one should say the insecurity) of his own private domain.","Der Spießer ist der moderne Massenmensch, betrachtet nicht in seinen exaltierten Augenblicken in der Masse, sondern im sicheren oder vielmehr heute so unsicheren Schutz seiner vier Wände."
131,"He has driven the dichotomy of private and public functions, of family and occupation, so far that he can no longer find in his own person any connection between the two.","Er hat die Zweiteilung von Privat und Öffentlich, von Beruf und Familie so weit getrieben, daß er noch nicht einmal in seiner eigenen identischen Person eine Verbindung zwischen beiden entdecken kann."
132,When his occupation forces him to murder people he does not regard himself as a murderer because he has not done it out of inclination but in his professional capacity.,"Wenn sein Beruf ihn zwingt, Menschen zu morden, so hält er sich nicht für einen Mörder, gerade weil er es nicht aus Neigung, sondern beruflich getan hat."
133,Out of sheer passion he would never do harm to a fly.  ,Aus Leidenschaft würde er nicht einer Fliege etwas zu Leide tun.
134,"If we tell a member of this new occupational class which our time has produced that he is being held to account for what he did, he will feel nothing except that he has been betrayed.","Wenn man einem Individuum dieser neuesten Berufsgattung, die unsere Zeit hervorgebracht hat, morgen sagen wird, daß es zur Verantwortung gezogen wird, so wird es sich nur betrogen fühlen."
135,"But if in the shock of the catastrophe he really becomes conscious that in fact he was not only a functionary but also a murderer, then his way out will not be that of rebellion, but suicide-just as so many have already chosen the way of suicide in Germany, where it is plain that there has been one wave of self-destruction after another.","Wenn es aber im Schock der Katastrophe zum Bewußtsein davon kommen sollte, daß es in Wahrheit nicht nur ein beliebiger Funktionär, sondern ein Mörder ist, so wird es auch nicht den Weg der Rebellion, sondern den Weg des Selbstmordes gehen     - wie ihn schon so viele in Deutschland, wo es offenbar eine Selbstmordwelle nach der anderen gibt, gegangen sind."
136,And that too would be of little use to us.   ,Und damit wäre uns auch nicht sehr viel geholfen.
137,IV ,IV
138,It is many years now that we meet Germans who declare that they are ashamed of being Germans.,"Seit vielen Jahren begegnen mir Deutsche, welche erklären, daß sie sich schämten, Deutsche zu sein."
139,I have often felt tempted to answer that I am ashamed of being human.,"Ich habe mich immer versucht gefühlt, ihnen zu antworten, daß ich mich schämte, ein Mensch zu sein."
140,"This elemental shame, which many people of the most various nationalities share with one another today, is what finally is left of our sense of international solidarity, and it has not yet found an adequate political expression.","Diese grundsätzliche Scham, die heute viele Menschen der verschiedensten Nationalitäten miteinander teilen, ist das einzige, was uns gefühlsmäßig von der Solidarität der Internationalen verblieben ist; und sie ist bislang politisch in keiner Weise produktiv geworden."
141,"Our fathers’ enchantment with humanity was of a sort which not only light-mindedly ignored the national question; what is far worse, it did not even conceive of the terror of the idea of humanity and of the Judeo-Christian faith in the unitary origin of the human race.","Die Menschheits-Schwärmerei unserer Väter hat nicht nur leichtfertig die sogenannte »nationale Frage« übersehen; sie hat, was ungleich schlimmer ist, den Ernst und den Schrecken der Idee der Menschheit und des jüdisch-christlichen Glaubens an einen einheitlichen Ursprung des Menschengeschlechts noch nicht einmal geahnt."
142,"It was not very pleasant even when we had to bury our false illusions about “the noble savage,” having discovered that men were capable of being cannibals.","Es war schon nicht sehr angenehm, die trügerische Hoffnung auf den »edlen Wilden« begraben und entdecken zu müssen, daß Menschen auch Kannibalen sein können."
143,Since then peoples have learned to know one another better and learned more and more about the evil potentialities in men.,"Seither haben die Völker einander besser und besser kennengelernt, haben sie mehr und mehr über die Möglichkeiten zum Bösen im Menschen erfahren."
144,"The result has been that they have recoiled more and more from the idea of humanity and become more susceptible to the doctrine of race, which denies the very possibility of a common humanity.","Der Erfolg ist, daß sie mehr und mehr vor der Idee der Menschheit zurückscheuen und immer anfälliger für Rasse-Doktrinen werden, welche die Möglichkeit der Menschheit prinzipiell verneinen."
145,"They instinctively felt that the idea of humanity, whether it appears in a religious or humanistic form, implies the obligation of a general responsibility which they do not wish to assume.","Sie spüren instinktiv, daß in der Idee der Menschheit, gleich ob sie in religiöser oder humanistischer Form auftritt, eine Verpflichtung zu einer Gesamtverantwortlichkeit mitenthalten ist, die sie nicht zu übernehmen wünschen."
146,"For the idea of humanity, when purged of all sentimentality, has the very serious consequence that in one form or another men must assume responsibility for all crimes committed by men and that all nations share the onus of evil committed by all others.","Denn die Idee der Menschheit, gereinigt von aller Sentimentalität, hat politisch die sehr schwerwiegende Konsequenz, daß wir in dieser oder jener Weise die Verantwortung für alle von Menschen begangenen Verbrechen, daß die Völker für     alle von Völkern begangenen Untaten die Verantwortung werden auf sich nehmen müssen."
147,Shame at being a human being is the purely individual and still non-political expression of this insight.  ,"Die Scham, daß man ein Mensch ist, ist der noch ganz individuelle und unpolitische Ausdruck für diese Einsicht."
148,"In political terms, the idea of humanity, excluding no people and assigning a monopoly of guilt to no one, is the only guarantee that one “superior race” after another may not feel obligated to follow the “natural law” of the right of the powerful, and exterminate “inferior races unworthy of survival”; so that at the end of an “imperialistic age” we should find ourselves in a stage which would make the Nazis look like crude precursors of future political methods.","Politisch gesprochen ist die Idee der Menschheit, von der man kein Volk ausschließen und innerhalb derer man keinem ein Monopol des Lasters zubilligen kann, die einzige Garantie dafür, daß nicht eine »höhere Rasse« nach der anderen sich verpflichtet glauben wird, dem Naturgesetz vom »Recht des Stärkeren« zu folgen und die »niederen lebensunfähigen Rassen« auszurotten - bis schließlich am Ende des »imperialistischen Zeitalters« wir uns auf einer Bahn bewegen werden, auf der die Nazis wie dilettantische Vorläufer einer zukünftigen Politik sich ausnehmen werden."
149,To follow a non-imperialistic policy and maintain a non-racist faith becomes daily more difficult because it becomes daily clearer how great a burden mankind is for man.  ,"Eine nichtimperialistische Politik zu machen, eine nicht-rassische Gesinnung sich zu bewahren wird täglich schwerer, weil täglich klarer wird, was für eine Last die Menschheit für den Menschen ist."
150,"Perhaps those Jews, to whose forefathers we owe the first conception of the idea of humanity, knew something about that burden when each year they used to say “Our Father and King, we have sinned before you,” taking not only the sins of their own community but all human offenses upon themselves.","Vielleicht haben jene Juden, deren Vätern die erste Konzeption der Idee der Menschheit zu danken ist, etwas über diese Last gewußt, wenn sie alljährlich im »Owinu Malkenu chotonu lefonecho« nicht nur alle in der Gemeinde begangenen Sünden, sondern alle menschlichen Verfehlungen überhaupt auf sich nahmen."
151,"Those who today are ready to follow this road in a modern version do not content themselves with the hypocritical confession, “God be thanked, I am not like that,” in horror at the undreamed-of potentialities of the German national character.","Diejenigen, die heute bereit sind, in moderner Form diesen Weg wieder zu gehen, haben sich vermutlich nicht pharisäisch mit dem Stoß-Seufzer des »Gott-sei-Dank-ich-bin-nicht-so« über die ungeahnten Möglichkeiten des »deutschen Nationalcharakters« entsetzt; dafür haben sie in Furcht und Zittern endlich begriffen, wessen alles der Mensch fähig ist - und dies ist in der Tat eine Vorbedingung modernen politischen Denkens."
152,"Rather, in fear and trembling, have they finally realized of what man is capable-and this is indeed the precondition of any modern political thinking.",
153,Such persons will not serve very well as functionaries of vengeance.,Sie werden sich vermutlich nicht sehr gut zu Funktionären der Rache eignen.
154,"This, however, is certain: Upon them and only upon them, who are filled with a genuine fear of the inescapable guilt of the human race, can there be any reliance when it comes to fighting fearlessly, uncompromisingly, everywhere against the incalculable evil that men are capable of bringing about.     ","Eines aber ist sicher: auf sie und nur auf sie, die eine genuine Angst vor der notwendigen Verantwortung des Menschengeschlechts haben, wird Verlaß sein, wenn es darum geht, gegen das ungeheure Übel, das Menschen anrichten können, furchtlos und kompromißlos und überall zu kämpfen.    "
