,de,en
1387,"Wir bleiben allerdings dabei, daß die maximale Gültigkeitsdauer des Dienstleistungsausweises bei 12 Monaten liegen soll.","However, we stand by our view that the maximum period of validity for the service provision card should be 12 months."
1388,"Bei den Selbständigen schlagen wir zusätzlich zu den bereits geschilderten Änderungen noch vor, daß das Wohnsitzkriterium verschärft werden muß und daß wir eine Möglichkeit vorsehen, einem eventuellen Mißbrauch durch Scheinselbständigkeit zu begegnen.","When it comes to self-employed persons, in addition to the amendments already described, we propose that the domicile criteria should be made more stringent, and that we should make provision for the possibility of countering any abuse in the way of bogus self-employment."
1389,"Ich möchte auch kurz auf die vorliegenden Abänderungsanträge eingehen, die über die Abänderungsanträge des Ausschusses für Recht und Binnenmarkt hinausgehen.",I would also just like to go into those of the proposed amendments that go beyond the proposed amendments put forward by the Committee on Legal Affairs and the Internal Market.
1390,"Ich möchte natürlich auch sagen, daß ich die vom Rechtsausschuß vorgelegten Änderungen, die dort einstimmig angenommen wurden, alle weiterhin unterstütze.","Of course I would add that I continue to support this committee' s amendments, which they adopted unanimously."
1391,"Ich habe selbst im Namen meiner Fraktion vier Änderungsanträge eingebracht, die sich im wesentlichen auf die richtige Zitierweise eines Ratsbeschlusses beziehen.",I have even submitted four amendments on behalf of my group that largely relate to the correct way of quoting Council decisions.
1392,"Ich muß sagen, ich habe hier von den Diensten des Parlaments äußerst widersprüchliche Aussagen bekommen, wie denn nun dieser Ratsbeschluß richtig zu zitieren sei; nur mit der Nummer, nur mit dem Datum, mit beiden, wie ausführlich aus dem Ratsbeschluß zitiert wird.","I must say I have received extremely contradictory statements from Parliament' s services as to exactly how these Council decisions should be quoted; whether or not one should use the number or date alone, or both, and how extensively to quote from them."
1393,"Zwei Änderungsanträge wurden von den Diensten annulliert, weil der Inhalt angeblich im Bericht schon berücksichtigt ist.",Two amendments were cancelled by the services because the content has supposedly already been given consideration to in the report.
1394,Ich ziehe die zwei weiteren Anträge - das sind die Anträge 18 beim Bericht über die Selbständigen und 21 bei den Unselbständigen - zurück.,I withdraw the two other amendments - that is Amendment No 18 to the report on self-employed persons and Amendment No 21 on employed persons.
1395,"Ich kann nur an die Konferenz der Präsidenten appellieren, möglichst schnell zu einer Einigung zu kommen, wie denn in der Frage der Komitologie richtig vorzugehen, richtig zu zitieren ist.","I can only urge the Conference of Presidents to reach agreement as quickly as possible on the correct way to proceed in matters of comitology, i.e. the correct way to quote."
1396,Das würde das Leben der Berichterstatter in diesem Haus in der Zukunft wesentlich erleichtern.,This would make our rapporteur' s life considerably easier in the future.
1397,Es liegt auch ein Änderungsantrag zu beiden Berichten der Kollegin De Palacio vor.,There is also a proposed amendment to both of Mrs De Palacio' s reports.
1398,"Ich muß leider sagen, daß ich diesen Änderungsantrag nicht unterstützen kann, weil er doch das Ergebnis, das wir im Ausschuß für Recht und Binnenmarkt einstimmig gefunden haben, in der Substanz verändert, und ich bei dem bleiben möchte, was wir im Rechtsausschuß nach langen Diskussionen gemeinsam als Ergebnis gefunden haben.","Unfortunately I have to say that I am unable to support this proposed amendment because it in fact changes the substance of the outcome that we in the Committee on Legal Affairs and the Internal Market resolved on unanimously, and I would like to stand by this outcome, which we arrived at together after lengthy discussions."
1399,"Ich darf abschließend allen Kollegen danken, die mir im Rechtsausschuß bei diesen nicht gerade leichten Berichten zur Seite gestanden haben.","On a final note, I would like to thank all those in the Committee who supported me in compiling these reports, which were far from easy to produce."
1400,"Insbesondere möchte ich den Kollegen Wieland erwähnen, der die undankbare Rolle des Schattenberichterstatters hat und weit über das übliche hinaus mit sehr guten und konstruktiven Ideen am Werden dieses Berichts teilhatte, ohne die Lorbeeren eines Berichterstatters einstecken zu können.","I would like to single Mr Wieland out for special mention, for he has the dubious honour of being the shadow rapporteur and was involved to a far greater extent than is customary in the drawing up of this report, contributing excellent and constructive ideas; and this without being in a position to receive the plaudits awarded a rapporteur."
1401,Deshalb möchte ich das hier besonders erwähnen!,That is why he deserves special mention!
1402,"Herr Präsident, meine Damen und Herren! Die EVP-Fraktion wird mit großer Mehrheit den Änderungsanträgen des Rechtsausschusses zustimmen und auch der geänderten Fassung am morgigen Tage.","Mr President, tomorrow will see a large majority within the PPE Group vote in favour of the amendments put forward by the Committee on Legal Affairs and the Internal Market, as well as the amended version."
1403,Ich will mich bei meinen Ausführungen auf zwei Bereiche beschränken.,I propose to confine my comments to two areas.
1404,"Der eine Bereich ist die Frage, was diese Richtlinie überhaupt bewirken - bewirken im eigentlichen Sinne - soll.","Firstly there is the question as to what this directive is actually designed to achieve, that is achieve in the real sense."
1405,Wir haben zum einen die Interessen der Wirtschaft und auch des Einzelnen.,There is the fact that we have to take the interests of the economy and also of the individual into account.
1406,"In meinen Ausführungen gehe ich zunächst einmal davon aus, daß es sich um einen rechtschaffenen und solide arbeitenden Einzelnen handelt.",My comments start from the premise that we are talking about an upright individual in gainful employment.
1407,"Wir haben zum anderen die Interessen der Mitgliedstaaten, die hinsichtlich der Betroffenen vielleicht auch einmal davon ausgehen müssen, daß ein worst case vorliegt.","Then there are the interests of the Member States, which, being on the receiving end, may have to start from the premise of a worst case scenario."
1408,"Wenn wir dem einen Extrem, den Interessen der Mitgliedstaaten, nachgehen, dann gibt es sicherlich gute Gründe dafür, die Hürden für diesen Ausweis relativ hoch anzusetzen.","If we are going to abide by the one extreme, that is the interests of the Member States, then we certainly have every reason to make the hurdles that have to be cleared in applying for this card relatively high."
1409,"Dann gibt es Gründe dafür, trotz dieses Ausweises frühzeitig Anzeigepflichten einzuführen.",There is also an argument for introducing early notification obligations as well as having this card.
1410,"Wenn ich dem anderen Extrem nachgehe, also möglichst wenig Hürden, dann bin ich in der Gefahr, daß ich in diesem Verfahren überhaupt keine Rechtsetzung erleben werde, weil nämlich die Mitgliedstaaten dieser Richtlinie nicht zustimmen.","If I were to go to the other extreme, as few hurdles as possible that is, then I would run the risk of failing to produce any legislation whatsoever in the course of this procedure because the Member States would not sign up to this directive."
1411,"Im Ergebnis werde ich also entweder die Situation haben, daß ich zwar eine Richtlinie für den Dienstleistungsausweis habe, aber, weil die Hürden für die Wirtschaft sehr hoch sind, de facto den Dienstleistungsausweis für niemanden vorliegen habe.","I would therefore end up with a situation where a directive on the service provision card might well be in place, but with the hurdles facing the business world being so high, in reality no one would apply for the card."
1412,Im anderen Fall habe ich gar keine Richtlinie.,"Alternatively, I might have no directive at all."
1413,Beide Ergebnisse können nicht befriedigen.,Neither outcome would be satisfactory.
1414,"Vielleicht ist dies auch der Grund, daß, wie man hört, die Verhandlungen auch im Rat darüber verhakt sind.","Perhaps this is also why, as is rumoured to be the case, the Council has become bogged down in its negotiations on this as well."
1415,"Wir haben nun versucht, einen Grenznutzen zu finden zwischen dem einen Interesse - ordre public - und dem anderen Interesse, eine möglichst leichte Lösung zu finden.","We have been trying to reach a happy compromise between one interest - that of public order - and the other, that of finding the easiest possible solution."
1416,"Wir wollen eine Lösung haben, wo gewisse Hürden für die Wirtschaft aufgebaut werden, wo aber dann, wenn diese Hürden überwunden sind, eine möglichst leichte Handhabung erreicht wird.","We want to arrive at a solution where certain hurdles are created vis-à-vis the business world, but once these have been overcome, implementation is as easy as it possibly could be."
1417,"Wir wollen deshalb, daß für einen oder für mehrere Mitgliedstaaten der Dienstleistungsausweis beantragt wird.",Therefore we want applications for the service provision card to be for one or more Member States.
1418,"Wenn eine Firma in Frankreich sagt, wir haben einen Mitarbeiter, der muß ständig in Dänemark arbeiten und nur in Dänemark, dann soll dieser Dienstleistungsausweis auch nur für Dänemark beantragt werden können.","If a company in France says that it has an employee who has to work in Denmark on a permanent basis, and only in Denmark, then it certainly ought only to be possible to apply for this card for Denmark."
1419,Dann werden die bürokratischen Hürden hierfür niedriger sein.,"Accordingly, the bureaucratic hurdles that have to be overcome would be lower in this instance."
1420,"Im Gegenzug wollen wir aber, daß es keine frühzeitigen Anzeigepflichten mehr gibt, sondern daß nur noch der Grund für die Arbeiten in dem anderen Mitgliedstaat vom Arbeitnehmer mit sich geführt wird, in Gestalt beispielsweise des zugrundeliegenden Vertrages.","In return for this, however, we want early notification obligations to be discontinued, rather it should just be a matter of the employee taking the justification for the posting to the other Member State along with them, and this might take the form of the contract forming the basis for his/her posting."
1421,"Deshalb muß auch ich sagen, daß ich mich im Ergebnis für die Änderungsanträge des Rechtsausschusses ausspreche.","Consequently, I too have to say that I am in favour of the amendments put forward by the Committee on Legal Affairs and the Internal Market."
1422,Vielleicht ist auch bei der Kommission noch ein gewisser Rest an Mißverständnis übriggeblieben.,Perhaps there was a certain amount of residual misunderstanding on the part of the Commission.
1423,"Wir wollen, daß eine ganz flexible Lösung erreicht wird.",We want to achieve a completely flexible solution.
1424,"Wenn ein Mitgliedstaat erklärt, wir haben plötzlich Probleme, weil die Person einen Diebstahl begangen hat, wir haben Probleme, und für unser Land ist dieser Dienstleistungsausweis ausgestellt, dann kann das einzelne Land aus den Gründen, die diese Richtlinie gibt, die Gültigkeit des Dienstleistungsausweises gewissermaßen zurückrufen, flexibel und intelligent.","If a particular Member State was to declare that it had suddenly run into problems because the individual concerned had committed a theft and the card was for their country, then this particular Member State would be able to revoke this card, as it were, for the reasons cited in this directive, which is altogether a flexible and intelligent solution."
1425,Lassen Sie mich noch ganz kurz auf einen zweiten Bereich eingehen.,Allow me just to go very briefly into a second matter.
1426,"Die meisten, die bisher mit der Richtlinie befaßt sind, sind Juristen.",Most of those who have been working on the directive to date have been lawyers.
1427,"Wir alle wissen, daß es noch unterschiedliche Vertragsbestandteile, zum Teil sehr alte Vertragsbestandteile gibt, die noch EG heißen.","We all know that there are still various parts of the Treaty, some of them very old, which are still referred to as EC."
1428,"Wir wissen, daß diese Richtlinie auf EG-Recht gründet und nicht auf EU-Recht.",We are aware that this directive is founded on EC law and not on EU law.
1429,"Aber wir haben vor der Wahl - der Rat, die Kommission, das Parlament, die Presse, Gewerkschaften, Gesellschaften - darauf hingewirkt, daß dem Bürger dieses Europa verständlicher wird.","However, before the elections we - the Council, the Commission, Parliament, the press, unions and companies that is - worked towards making the Europe we have today more comprehensible to the citizens."
1430,Wir haben dem Bürger die Änderung von EWG in EG in EU zugemutet.,We have expected the citizens to take on board the transition from EEC to EC to EU.
1431,Er hat nun EU begriffen.,"They have now got to grips with ""EU"" ."
1432,"Wir tun uns selber und dem Bürger keinen guten Dienst, wenn wir das Produkt, das wir dann herausgeben, nun EG-Dienstleistungsausweis taufen und nicht EU-Dienstleistungsausweis.","We would be doing neither ourselves nor the citizens any favours if we were to christen the product we are proposing to deliver ""EC service provision card"" and not ""EU service provision card"" ."
1433,"Den Bürger interessiert die EU-Welt, die ist für ihn gültig.","It is the world of the EU that the citizens are interested in, this is the one that counts in their eyes."
1434,"Ich bitte den Rat und die Kommission, sich in dieser Richtung zu bewegen.",I would urge the Council and the Commission to move in this direction.
1435,"Herr Präsident, Herr Kommissar, meine Damen und Herren! Ich möchte zuerst einmal der Berichterstatterin und dem Kollegen Wieland recht herzlich für die Mühe danken, die verschiedenen Änderungsanträge und die verschiedenen Interessen in diesem Bericht so homogen zusammenzufassen.","Mr President, Commissioner, first and foremost I would like to extend warm thanks to the rapporteur and to Mr Wieland for the efforts they have expended in summing up the various proposed amendments and interests in this report in such a balanced manner."
1436,Diese zwei Vorschläge tragen zur Umsetzung eines der vier Kernprinzipien des Binnenmarktes der Dienstleistungsfreiheit erheblich bei.,These two proposals contribute considerably to the implementation of one of the four key principles of the internal market for the freedom to provide services.
1437,Die neue Regelung für grenzüberschreitende Dienstleistungen wird ohne Zweifel sowohl das Funktionieren des Binnenmarktes als auch die Wettbewerbs- und Handlungsfähigkeit der Unternehmen verbessern.,The new regulation for cross-border services will doubtless improve both the functioning of the internal market and the competitiveness and power to act of enterprises.
1438,"Die strikten Rahmenbedingungen für die Erstellung des - und hier bin ich beim Kollegen Wieland - EU-Dienstleistungsausweises sind unumgänglich, da sie dazu dienen, Mißbräuche wie illegale Einwanderungen und Scheinverträge zu verhindern.","The strict basic conditions attached to the issue of the EU service provision card - and I am with Mr Wieland on this - are essential, for they will serve to prevent abuses such as illegal entry and bogus contracts."
1439,Warum halte ich die Richtlinie für so notwendig?,Why do I think we need the directive so much?
1440,"Drei Gründe: Wegen der wirtschaftlichen Bedeutung der drittstaatsangehörigen Arbeitskräfte in der EU, wegen der Wettbewerbsfähigkeit der Unternehmen und wegen des reibungslosen Funktionierens des Binnenmarktes.","Three reasons and they are as follows: on account of the economic importance of third-country workers in the EU, in the interests of the competitiveness of enterprises and the proper functioning of the internal market."
1441,"Ich begrüße daher auf der einen Seite den strikten Rahmen und appelliere andererseits, daß die angemessenen Kontrollen, die durch die Mitgliedstaaten durchgeführt werden, möglichst wirksam und einfach gestaltet sind.","Therefore, whilst I welcome the strict basic conditions, I would also call for the controls that are to be implemented by the Member States to be made as effective and simple as possible."
1442,"Meine Frage zum Schluß, weil ich immer wieder darauf angesprochen werde, geht an die Kommission: Wird die Richtlinie die Beitrittsverhandlungen präjudizieren?",My last question relates to something people constantly approach me about and is therefore addressed to the Commission. Will the directive prejudice the accession negotiations?
1443,"Wie wird der Artikel 1 aus Ihrer Sicht interpretiert und ausgelegt, weil das gerade für unser Land an der Grenze zu vielen neuen Ländern und in den Beitrittsverhandlungen eine wichtige Rolle spielt?","How is Article 1 to be interpreted and explained in your view, as this will have important implications, notably for the accession negotiations and for our country, which shares common borders with so many applicant countries?"
1444,"Herr Präsident, meine Damen und Herren, Kolleginnen und Kollegen! Auch ich danke dem Berichterstatter für diesen ausgezeichneten Bericht.","Mr President, I too would like to thank the rapporteur for this excellent report."
1445,"Ich bin auch mit seinen Schlußfolgerungen völlig einverstanden, in denen er insbesondere vorschlägt, die Zahl der Referenten der Richter am Gerichtshof Erster Instanz zu erhöhen und dem Gerichtshof Erster Instanz einen eigenen Übersetzungsdienst zu geben.","I also fully endorse his findings, in which, in particular, he suggests increasing the number of consultants for judges at the Court of First Instance and providing the latter with its own translation service."
1446,"Ich halte dies tatsächlich für notwendig, weil wir bei dem Besuch des Rechtsausschusses in Luxemburg gehört haben, daß natürlich ganz zwangsläufig, sozusagen Gottgegeben, bei der Nutzung des gemeinsamen Übersetzungsdienstes der Gerichtshof Vorrang vor dem Gericht Erster Instanz hat und darum oftmals wichtige Sachen am Gericht Erster Instanz nicht ausreichend behandelt werden können.","In point of fact, I consider this to be necessary because we heard, following the Committee on Legal Affairs and the Internal Market' s visit to Luxembourg, that it is of course inevitable, a God-given fact as it were, that the Court of Justice should take precedence over the Court of First Instance when it comes to using the joint translation service, and so more often than not, important cases handled by the Court of First Instance cannot be given the attention they deserve."
1447,"Ich bin aber auch der Meinung, daß die Reformen weiter gehen müssen als das, was wir jetzt hier beschließen werden.",However I also believe that the reforms must go further than those we are to adopt here.
1448,"Ich denke, daß es beispielsweise überlegenswert ist, in den Bereichen, wo bereits Spruchkörper, die gerichtsähnlich sind, im Vorfeld entscheiden - ich nenne nur das Stichwort Alicante oder wie dies auch für das europäische Beamtenrecht geplant ist -, das Gericht Erster Instanz gegebenenfalls zur letzten Instanz zu machen und hier eine abschließende Zuständigkeit herzustellen.","For example, I believe it is worth considering making the Court of First Instance that of Last Instance, if applicable, and making this a final competence, in those spheres where benches of the Court, which resemble courts, pass judgement at a preliminary stage - I need only mention the keyword Alicante or whatever the plans are for European civil service law."
1449,"Ich sehe auch, daß wir wahrscheinlich etwas tun müssen im Zusammenhang mit den Tendenzen bei der Europäischen Kommission, Wettbewerbsentscheidungen wieder zu renationalisieren und auf die nationale Ebene zurückzuverlagern.",I am also aware that we are probably also going to have to do something about the European Commission' s inclination to renationalise competition decisions and transfer them back to national level.
1450,"Hier scheint es mir notwendig zu sein, darüber nachzudenken, weil diese Fälle ja dann nicht mehr beim Gericht Erster Instanz landen, sondern als Vorlagebeschlüsse beim Gerichtshof.","It seems to me that we need to give this some thought, as these cases will no longer fall to the Court of First Instance of course but to the Court of Justice as draft decisions."
1451,"Wir sollten überlegen, wie wir mit dieser Situation fertig werden.",We need to consider how we will deal with situations of this kind.
1452,"Eventuell sollte es auch die Möglichkeit geben, Vorlagebeschlüsse in Wettbewerbssachen an die spezialisierte Kammer des Gerichtes Erster Instanz zu machen.","Where possible, one should also have the opportunity to present draft decisions in competition cases to the specialist chamber within the Court of First Instance."
1453,"Darüber hinaus muß man auch überlegen, ob es denn richtig ist - und wir hatten gerade Fälle, in denen Abgeordnete oder auch Fraktionen gegen das Europäische Parlament geklagt haben -, daß für solche Fragen das Gericht Erster Instanz zuständig ist, obwohl eigentlich Verfassungsfragen berührt sind und diese Dinge logischerweise eigentlich vor den Gerichtshof gehören und weniger vor das Gericht Erster Instanz.","In addition, we must consider whether it is right and proper - and we have already had cases in which MEPs, not to mention groups, lodged a complaint against the European Parliament - for the Court of First Instance to be responsible for such cases, when in fact matters of a constitutional nature are affected and it makes more sense for such matters to be brought before the Court of Justice than before the Court of First Instance."
1454,"Ein letzter Punkt: Ich glaube auch, daß OLAF rechtsstaatlicher Kontrolle bedarf.","On a final note, I too believe that OLAF requires monitoring under rule of law."
1455,"Im Augenblick steht OLAF im luftleeren Raum und kann machen, was es will.","As things stand, OLAF is in a vacuum and can do as it pleases."
1456,"Ich halte es für nötig, daß ein Gericht OLAF kontrolliert.",It is essential for OLAF to be monitored by a court.
1457,"Das einzige Gericht, das das vernünftigerweise tun kann, wäre das Gericht Erster Instanz.",The only court that could reasonably do so would be the Court of First Instance.
1458,Auch das wäre eine Anregung für den weiteren Reformprozeß.,That would be another way of spurring the reform process on.
1459,"Herr Präsident, liebe Kolleginnen und Kollegen! Das Europäische Parlament steht heute vor einer wichtigen Entscheidung.","Mr President, the European Parliament is today facing an important decision."
1460,"Setzen wir uns ein für einen zukunftsweisenden Umwelt- und Verbraucherschutz, oder läßt sich das Parlament, wie die Änderungsanträge von Florenz, Lange und anderen befürchten lassen, zum Büttel der deutschen Automobilindustrie machen?","Will we give our backing to forward-looking environmental and consumer protection or, as the amendments of Florenz, Lange and others cause me to fear, will we allow ourselves to become a servant of the German car industry?"
1461,Die Glaubwürdigkeit des Parlaments als einem der Vorreiter für den Umweltschutz steht auf dem Spiel.,The credibility of Parliament as a champion of environmental protection is at stake.
1462,"Es wäre mehr als beschämend, wenn das EP hinter das zurückfallen würde, was die Regierungen der 14 Mitgliedstaaten und die Europäische Kommission vorgegeben haben, für die Produzentenverantwortung und für den Schutz der Umwelt!",It would be shameful to say the least if the European Parliament were to draw back from the professions the governments of the 14 Member States and the European Commission have been making concerning manufacturer responsibility and environmental protection!
1463,Die Absicht von Florenz und Lange mit ihren Änderungsanträgen ist klar: Die Richtlinie soll kaputt gemacht werden!,The intention of Florenz and Lange in their amendments is obvious: to sabotage the directive!
1464,Mit der vorgeschlagenen geteilten Verantwortlichkeit sollen das Verursacherprinzip ausgehöhlt und Produktinnovationen untergraben werden.,The proposed shared responsibility would undermine the polluter pays principle and detract from product innovation.
1465,"Mit dem Aufbau zahlreicher Hürden wollen sie nichts anderes, als eine effektive ökologische Stoffstrompolitik verhindern, und über den Weg der Typengenehmigungen wollen sie Verzögerungen bei der Implementierung der Richtlinien von 12 oder mehr Jahren.",In setting up numerous hurdles their sole aim is to hamper an efficient ecological material flow policy and by going down the road of type approvals they seek to delay the implementation of the directives by 12 years or more.
1466,Dies ist völlig unakzeptabel.,This is totally unacceptable.
1467,"Ich appelliere deshalb ganz besonders an die deutschen Abgeordneten: Lassen Sie nicht zu, daß heute ein großer politischer Schaden entsteht!",I therefore appeal to the German delegates in particular to prevent major political damage occurring today!
1468,Die rotgrüne Bundesregierung hat sich nicht mit Ruhm bekleckert bei der Debatte um die Altauto-Richtlinie.,The red-green federal government has not exactly covered itself with glory in the debate on the End-of-life Vehicles Directive.
1469,Setzen Sie dies nicht fort!,Do not continue in this vein!
1470,"Das Gejammer über die Wettbewerbsbenachteiligung ist lächerlich, wenn es eigentlich nur um die Wettbewerbsbenachteiligung der deutschen Automobilindustrie geht.",The whinging about competitive disadvantages is laughable if it only concerns competitive disadvantages sustained by the German car industry.
1471,"Seien Sie Volksvertreter, und lassen Sie sich nicht zum Volkswagenvertreter degradieren!",Start representing your people and not just your car manufacturers!
1472,Stimmen Sie für den Umwelt- und Verbraucherschutz und für Innovationen in der Auto- und Recyclingindustrie!,Vote in favour of environmental and consumer protection and for innovation in the car and recycling industry!
1473,"Herr Präsident, meine sehr geehrten Damen und Herren! Es besteht Einigkeit darüber, daß wir uns Gedanken darüber machen müssen, wie wir in Europa mit alten Autos ordentlich umgehen, aber der Rat hat in diesem Fall kein Beispiel für eine sinnvolle europäische Umweltpolitik gegeben.","Mr President, there is agreement that we must give some thought as to how we in Europe will properly deal with end-of-life cars, although in this instance the Council has not provided a model for a suitable European environment policy."
1474,"Es war blamabel, wie die deutsche Ratspräsidentschaft mit diesem Thema umgegangen ist.",It is disgraceful the way in which the German Presidency handled this matter.
1475,"Zunächst hat sich Herr Trittin, der Umweltminister, nicht mit seinen Kollegen im Kabinett ausreichend abgestimmt, anschließend hat sich Herr Bundeskanzler Schröder wie ein Elefant im Porzellanladen ohne Sachkenntnis in dieses Verfahren eingemischt.","Firstly, Herr Trittin, the Environment Minister, was not in tune with his colleagues in the Cabinet, then Chancellor Schröder blundered in like a bull in a china shop, having no expert knowledge of this process."
1476,"Aber auch der Beschluß der finnischen Ratspräsidentschaft im Juni war nicht das Beste, was man erreichen konnte.","Mind you, even the Resolution of the Finnish Council Presidency in June was not the best result that could have been done achieved."
1477,"Es gibt einige Schwächen. Die größte Schwäche ist aus meiner Sicht, daß die Situation des Mittelstandes nicht ausreichend berücksichtigt wird, aber die Automobilindustrie besteht nicht nur aus Großunternehmen.","There are certain weaknesses, the greatest of which, in my opinion, is that not enough consideration is being given to the situation of small businesses; after all, the car industry is more than just large companies."
1478,"Gerade im Zulieferbereich spielt der Mittelstand eine sehr große Rolle, und wir müssen die Interessen auch der Beschäftigten in diesen kleinen und mittleren Betrieben berücksichtigen.",It is in the area of supply that small business plays an important role and we must not fail to also take account of the interests of those employed in small and medium-sized enterprises.
1479,"Dann sind es weit mehr als zwei Millionen Menschen, die in diesem Bereich ihren Arbeitsplatz finden.",For there are considerably more than two million people employed in this sector.
1480,"Dieser Situation des Mittelstandes dienen auch viele Änderungsanträge des Ausschusses für Umweltfragen, Volksgesundheit und Verbraucherpolitik und auch die vorliegenden Änderungsanträge unserer Fraktion zu Artikel 5 bezüglich der Kosten.","The plight of small businesses is also addressed by numerous amendments from the Committee on the Environment, Public Health and Consumer Policy and also the amendments in question from our group to Article 5 concerning costs."
1481,Auch umweltpolitisch ist der Gemeinsame Standpunkt keine Glanzleistung.,The common position is also no great shakes from an environmental viewpoint.
1482,"Es fehlt der Blick für die großen Zusammenhänge, und wenn die Kollegin von den Grünen sagt, es wäre das erste Mal, daß das Europäische Parlament einen Gemeinsamen Standpunkt abschwächt, dann kann man das so nicht sagen, denn es ist doch umweltpolitisch nicht sinnvoll, daß wir durch starre, hohe Recyclingquoten moderne, verbrauchsarme Autos wie das 3-Liter-Auto, wo eben viel Kunststoff eingesetzt wird, verhindern!","It fails to take in the bigger picture and when my fellow delegate from the Greens says that this is the first time that the European Parliament has toned down a common position, I really must object, because quite simply, it is not environmentally meaningful to restrict the use of modern, low-consumption cars such as the 3-litre car, which contain a great deal of plastic, by means of rigid, high recycling quotas!"
1483,"Daher muß man einen Änderungsantrag unterstützen, der zumindest Ausnahmen zuläßt, wenn wir besonders sparsame Autos haben.","Consequently, we must support an amendment which at least permits exceptions in the case of particularly economical cars."
1484,Die Einwände der Industrie in diesem Bereich sind sicherlich nicht unlogisch.,The objections of the industry in this matter are certainly not without foundation.
1485,"Die Argumentationskraft der Kunststoff- und der Autoindustrie würde aber auch zunehmen, wenn man sich nicht nur in diesem Zusammenhang für die Reduzierung von CO2 in Europa engagieren würde.","However, the arguments of the plastics and car industries would be more persuasive if a commitment were to be given to reducing CO2 levels in Europe in other sectors besides these."
1486,"Herr Präsident, Frau Kommissarin! Ich habe mich noch einmal zu Wort gemeldet, um nach dieser Debatte noch ein paar Sätze zu sagen.","Mr President, Commissioner, I have asked to speak again so that I can say a few more words at the close of this debate."
1487,"Liebe Kolleginnen und Kollegen! Wenn man in die Niederlande reist, wird man feststellen, daß in den Niederlanden jeder Letztbesitzer sein Auto kostenlos abgeben kann.","If you travel to the Netherlands, you will find that every last owner can get rid of his car cost-free."
1488,"Dann wird man feststellen, daß diese Autos sinnvoll entsorgt werden, daß neue Materialströme erschlossen worden sind, um die Stoffe wiederzuverwerten, daß 85 % des Gewichts eines Autos recycelt wird, daß in den Niederlanden 92 % aller Autos recycelt werden.","You will also find that these cars are suitably disposed of, that new material flows have been opened up in order to recycle materials, that 85% of the weight of a car is recycled and that 92% of all cars in the Netherlands are recycled."
1489,"Das wird finanziert durch einen Fonds, in den der Neuwagenkäufer einzahlt.",This is financed by a fund to which the buyer of a new car contributes.
1490,"Frau Breyer, ist es ökologisch verwerflich, daß das passiert?","Should this be condemned ecologically, Frau Breyer?"
1491,Ich sage Nein.,I do not think so.
1492,"In den Niederlanden gibt es ein vorbildliches Modell, wo Automobile entsorgt werden, so wie die Richtlinie es will, und die Frage, ob nun der Neuwagenkäufer bezahlt oder für die alten Fahrzeuge, die jetzt rumfahren, der Hersteller, hat nichts, überhaupt nichts mit Ökologie zu tun, sondern ist eine reine Frage des Wettbewerbs!","The Netherlands has an exemplary model for disposing of cars as per the wishes of the directive and the issue of whether the buyer of a new car should pay or, in the case of end-of-life vehicles currently driving around, the manufacturer, has nothing, absolutely nothing, to do with ecology; it is a simple question of competition!"
1493,"Ob ein europäischer Hersteller 250 Millionen Euro oder ein koreanischer vielleicht 2 Millionen Euro bezahlen muß, das ist hier die Frage, und im Sinne der Menschen, die hier in Europa die Autos bauen, bin ich dafür, den Wettbewerb nicht ungleich zu gestalten, sondern im Sinne des Umweltschutzes will ich für den Letztbesitzer die Kostenlosigkeit, finanziert durch einen Fonds, und für den Neuwagen natürlich die Herstellerverantwortung, weil der dann die Verantwortung zu tragen hat, auch recyclingfreundliche Autos zu bauen!","The issue here is whether a European manufacturer should pay EUR 250 million or a Korean manufacturer, say, EUR 2 million. In terms of the people who build cars here in Europe, I am in favour of not making competition unequal but, in terms of environmental protection, I want freedom from costs for the last owner, to be financed by a special fund, and manufacturer responsibility for new cars, which will force them to assume responsibility for building recyclable cars!"
1494,(Beifall von der PSE-Fraktion),(Applause from the PSE Group)
1495,"Herr Präsident, meine sehr verehrten Damen und Herren, meine lieben Kolleginnen und Kollegen!","Mr President, nine million cars are shredded and scrapped every year in Europe."
1496,"Neun Millionen Autos werden jährlich in Europa der Verschredderung und dem Schrott zugeführt. Diese neun Millionen Autos haben trotz der Tatsache, daß sie nicht mehr fahren können, die Eigenschaft, auch über Grenzen hinweg gehandelt und verschoben zu werden, nicht nur über innergemeinschaftliche Grenzen, sondern auch über Grenzen, die außerhalb der Union liegen.","Even though they can no longer be driven, these nine million cars may still be traded and moved across borders; and not just intra-Community borders, but also those outside the Union."
1497,"Deswegen ist es im Grundsatz richtig, daß die Europäische Union hier gemeinschaftliche Spielregeln aufstellt, wie man diese neun Millionen Fahrzeuge im Jahr recycelt und verarbeitet.",It is therefore only right that the European Union should draw up Community rules on how these nine million vehicles every year are to be recycled and processed.
1498,"Die Richtlinie hat, so glauben wir, einige Schwächen, die wir in diesem Hause gerne aufarbeiten möchten zugunsten einer Richtlinie, die in der Tat dann auch zukunftsweisend ist.",We believe that the directive has a few weaknesses that we in the House should work on to produce a directive which is genuinely ground-breaking.
1499,Deswegen gibt es eine Menge an Änderungsanträgen.,We therefore have a number of amendments.
1500,"Ich persönlich glaube, daß der Geltungsbereich dieser Richtlinie über das Ziel hinausschießt.",I personally believe that the scope of the directive goes beyond its objective.
