,pl,en
597,"autor. - Panie Przewodniczący! Kolejnym krajem, o którym mówimy w tej chwili i w którym dochodzi do łamania podstawowych praw, jest Bangladesz.","author. - Mr President, the next country we are to discuss during this afternoon's debate is Bangladesh, where fundamental rights are also being breached."
598,"I kiedy po tych kolejnych przykładach zastanawiamy się, dlaczego świat, który dzisiaj jest tak bardzo poddany tak zwanej globalizacji, kiedy cały świat jest opleciony siatką organizacji gospodarczych, siatką przede wszystkim organizacji politycznych, dlaczego dzisiaj, kiedy mamy ONZ, kiedy mamy tutaj w Europie Unię Europejską, kiedy mamy tyle organizacji, które deklarują szacunek dla człowieka, dlaczego nie mamy globalizacji podstawowych zasad humanitarnych?","Having heard about all these individual cases we are bound to wonder how such a situation can exist in a world that is increasingly subject to so-called globalisation, that is networked by economic organisations and even more so by political ones, a world that has seen the establishment of the United Nations and of the European Union on our own continent, and a world where there are so many organisations claiming to respect human beings. We might well ask ourselves why globalisation of fundamental humanitarian principles has not taken place."
599,Jest to chyba jednak problem naszych czasów i naszych organizacji.,It seems to be a problem affecting our times and our organisations.
600,"Wszystkich interesuje gospodarka, polityka, ale kiedy chodzi o to, żeby gospodarce i polityce nadać ludzki wymiar, który zaowocuje uwolnieniem od krzywdy zwykłych, prostych ludzi, stajemy wobec tego bezradni.","Everyone is interested in politics and economics, but when it comes to giving politics and economics a human dimension, so that no further harm is done to humble ordinary people, we appear to be helpless."
601,"Pani Komisarz Reding powiedziała przed chwilą, kiedy mówiliśmy o Birmie, że istnieje niebezpieczeństwo, iż znowu staniemy bezradni, z opuszczonymi rękami wobec tych krzywd.",Commissioner Reding said a moment ago while we were discussing Burma that there is a danger that we will becomes helpless again and fail to react against these injustices.
602,"Jednak powinniśmy sobie zdać sprawę, że jakieś kroki są niezbędne, że brakuje proporcji między skalą naszych działań politycznych, naszych działań gospodarczych, a stanem przestrzegania zwykłych podstawowych praw.","We need to understand, however, that certain steps have to be taken and that there is an imbalance between the scale of our political activities, our economic activities and the extent of compliance with standard fundamental rights."
603,Na jeszcze jedną rzecz chciałbym zwrócić uwagę: w deklaracji czytamy o występujących między innymi prześladowaniach religijnych.,I should also like to draw attention to another issue. In the declaration reference is made to the emergence of persecution for religious reasons amongst others.
604,"Chciałbym zwrócić uwagę, że te prześladowania religijne dotykają z reguły, jeżeli nie zawsze, chrześcijan, a najczęściej katolików, że dzisiaj katolicy są najczęściej prześladowanymi i ponoszącymi śmierć za wiarę przedstawicielami jakiejkolwiek religii na świecie.","I should like to point out that religious persecution is generally, though not always, directed against Christians, notably Catholics. At a global level, Catholics are currently the group most frequently persecuted and killed for their faith."
605,"Trzymajmy się faktów, kiedy mówimy o prześladowaniach, pamiętajmy kto kogo prześladuje.",We should stick to the facts and when we refer to persecution we should remember who is persecuting whom.
606,"w imieniu grupy PPE-DE. - Panie Przewodniczący! Sytuacja w Bangladeszu jest niepokojąca, są wszakże podejmowane kroki na rzecz przeprowadzenia wyborów w wyznaczonym terminie.","on behalf of the PPE-DE Group. - Mr President, the situation in Bangladesh is certainly worrying. Action has been taken, however, with a view to holding elections at the appointed time."
607,"Istnieje jednak obawa, że wydany w lipcu w 2007 r przez Komisję Wyborczą plan działania nie zostanie zrealizowany na czas.","There is concern, nevertheless, that the Election Commission's work programme presented in July 2007 will not be completed on time."
608,"Przypomnijmy, iż misja obserwacyjna Unii Europejskiej skończyła się 22 stycznia, wtedy też ONZ wycofała swoje wsparcie.","We should recall that the European Union's observation mission came to an end on 22 January, when the United Nations also withdrew its support."
609,"Nie możemy zostawić Bangladeszu w takim momencie, musimy wysłać obserwatorów wyposażonych w szerokie kompetencje.",We cannot abandon Bangladesh at this stage. We must send observers with a broad remit.
610,Ponadto obserwatorzy powinni spełniać rolę kontrolną dla przeprowadzonych procesów karnych i zatrzymań zwykłych obywateli.,The observers should also monitor criminal proceedings under way and arrests of ordinary citizens.
611,Do szczególnie ważnych należy wywarcie presji na władze celem uwolnienia studentów zatrzymanych podczas protestów 28 sierpnia 2007 r.,It is particularly important to exert pressure on the authorities to secure the freedom of the students arrested during the protests of 28 August 2007.
612,Nasza reakcja powinna być natychmiastowa i zawierać kompleksową pomoc. W innym wypadku nie będziemy mogli liczyć na terminowe przeprowadzenie wyborów.,"We should react swiftly, providing wide-ranging aid; if we fail to do so, we cannot expect the elections to take place at the appointed time."
613,w imieniu grupy PSE. - Panie Przewodniczący! Minął prawie rok od ostatniej rezolucji Parlamentu Europejskiego w sprawie Bangladeszu.,"on behalf of the PSE Group. - Mr President, almost a year has gone by since the last European Parliament resolution on Bangladesh."
614,Mimo wielkich oczekiwań sytuacja wewnętrzna kraju uległa pogorszeniu.,Despite our high hopes the situation in the country has deteriorated.
615,"Planowane na styczeń bieżącego roku wybory nie odbyły się i zostały odroczone na koniec 2008 r., a powołany rząd tymczasowy przy wsparciu armii wprowadził stan wyjątkowy.","The elections planned for January of this year did not take place and were postponed until the end of 2008. With the support of the army, the interim government declared a state of emergency."
616,Obecna władza otwarcie ogranicza wszelką działalność polityczną oraz wolność prasy i mediów.,The current leadership is openly restricting all political activity and the freedom of the press and other media.
617,"Wśród osób aresztowanych jest już dwóch byłych premierów, 160 znaczących polityków i ponad 100 tysięcy cywilów.","The individuals arrested include two former prime ministers, 160 leading politicians and over 100 000 civilians."
618,W sierpniu bieżącego roku wielkie zaniepokojenie społeczności międzynarodowej wywołało brutalne stłumienie przez wojsko protestów studenckich na Uniwersytecie w Dhace.,The brutal suppression of the student protests against the army at Dhaka University in August of this year gave rise to serious concern at international level.
619,"W świetle powyższych zdarzeń Rada i Komisja Europejska powinny uważnie monitorować sytuację, postulując przede wszystkim przywrócenie działalności niezawisłych instytucji i partii politycznych w Bangladeszu.","In view of the aforementioned events, the Council and the European Commission should monitor the situation carefully. They should press first and foremost for independent institutions and political parties in Bangladesh to be allowed to resume their activities."
620,"Niezbędnym wydaje się wysłanie kolejnej misji obserwacyjnej i pomocy technicznej, które mogą skutecznie pomóc w przygotowaniach do przeprowadzenia wolnych demokratycznych wyborów.","It is essential to send another observation mission and provide technical assistance, which could make a positive contribution to preparations for free democratic elections."
621,Tylko połączone wysiłki wszystkich zaangażowanych stron pozwolą na prawdziwą stabilizację sytuacji w Bangladeszu.,Only if all the interested parties work together will it be possible to stabilise the situation in Bangladesh effectively.
622,"autor. - Panie Przewodniczący! Rozwój międzynarodowego prawa humanitarnego, trybunały powoływane do osądzania zbrodni wojennych i zbrodni przeciwko ludzkości były wielkim osiągnięciem społeczności międzynarodowej po drugiej wojnie światowej.","author. - Mr President, the development of international humanitarian law, together with the establishment of courts to try perpetrators of war crimes and crimes against humanity represented a mayor achievement by the international community after the Second World War."
623,"W dobie globalizacji ich rola jeszcze bardziej wzrosła, szczególnie na terytoriach, gdzie władza państwowa nie jest w stanie skupić centralnego autorytetu wokół rządów prawa i zapewnić podstawowego bezpieczeństwa ludności tych terytoriów.","The role of the aforementioned institutions has developed further in the era of globalisation, especially in areas where national leaders are unable to establish a central authority around governments based on the rule of law and ensure the fundamental security of the inhabitants concerned."
624,Trybunał specjalny dla Sierra Leone odgrywa ważną rolę dla pokoju i sprawiedliwości w regionie rzeki Mano w zachodniej Afryce.,The Special Court for Sierra Leone is making a significant contribution to the cause of peace and justice in the Mano River region of West Africa.
625,"Chciałbym zwrócić uwagę na podjęcie przez ten trybunał także programów archiwizacji i tłumaczenia dokumentów informujących o prowadzonych przez niego pracach, oraz na programy ochrony ofiar.",I should like to highlight the programme undertaken by the Court involving the archiving and translation of documents relating to its work. I should also like to mention the victim protection programmes it has set up.
626,Tego typu działalność posiada podstawowe znaczenie dla tworzenia rządów prawa w Afryce Zachodniej w dalekiej perspektywie czasowej.,Activities of this nature are crucial to the establishment of governments based on the rule of law in West Africa in the longer term.
627,"W dzisiejszej rezolucji w sprawie finansowania trybunału specjalnego dla Sierra Leone Parlament Europejski apeluje do Komisji, do wszystkich instytucji europejskich i państw członkowskich o zagwarantowanie finansowych podstaw pozwalających na spokojne i poważne dokończenie prac trybunału.",In today's resolution on the financing of the Special Court for Sierra Leone the European Parliament is calling on the Commission and on all European and Member State institutions to guarantee the financial basis to enable the Court to complete its work in a measured and responsible manner.
628,"autor. - Panie Przewodniczący! Tak się składa, że w najbliższy weekend w Sierra Leone odbędzie się kolejna tura wyborów parlamentarnych i mogę tylko wyrazić ubolewanie, że nie będzie tam delegacji Parlamentu Europejskiego, która była wcześniej planowana.","author. - Mr President, it so happens that the next round of parliamentary elections is due to take place in Sierra Leone this coming weekend. I cannot but express my regret that the European Parliament delegation previously planned will not be present there."
629,Dlaczego trybunał specjalny dla Sierra Leone jest tak ważny?,We might well ask ourselves why the Special Court for Sierra Leone is so important.
630,"Nie chodzi bowiem wyłącznie o jeden z wielu afrykańskich krajów ze zbrodnią i gwałtem w tle, ale o prestiż i rozwój międzynarodowego wymiaru sprawiedliwości w zakresie sądownictwa karnego.",This is not simply a case of one more of the many African countries with a history of rape and murder. It concerns the prestige and development of the international administration of justice in the area of criminal law.
631,"W ostatnim czasie zanotowaliśmy, powiedzmy sobie wprost, dwie spektakularne porażki właśnie tego ponadnarodowego wymiaru sprawiedliwości: chodzi o nieskuteczną próbę osądzenia Slobodana Miloszewicza i o bardziej niż kontrowersyjne okoliczności śmierci Saddama Husajna.","We have recently witnessed two spectacular failures of this very system, and we should be honest with ourselves and recognise them as such. I refer to the failed attempt to sentence Slobodan Milošević and the exceedingly controversial circumstances surrounding the death of Saddam Hussein."
632,"Gdyby po tych dwóch prestiżowych wpadkach doszło do kolejnej kompromitacji w postaci przerwania funkcjonowania trybunału z powodu braku finansów, byłby to ""gwóźdź do trumny” międzynarodowego wymiaru sprawiedliwości w sprawach karnych.","Should a further fiasco now occur in the wake of these much-publicised events, that is to say, should the Court be obliged to cease operations due to a lack of financial resources, it would amount to the coup de grâce for international administration of justice in the area of criminal law."
633,"Mówiąc konkretnie, chodzi o wyasygnowanie niespełna 90 milionów dolarów amerykańskich na najbliższe dwa lata i jeden kwartał, z czego ponad jednej trzeciej tej kwoty jeszcze w tym roku.","To go into detail, what is at stake is the allocation of less than USD 90 million over the next two and a quarter years, with more than a third of the total to be transferred this year."
634,"Wszystko po to, aby zagwarantować funkcjonowanie trybunału.",This is needed in order to ensure the continued operation of the Court.
635,"Tak naprawdę od osądzenia przez specjalny trybunał dla Sierra Leone byłego prezydenta Liberii, Charlesa Taylora, i od rozpatrzenia 17 zarzutów zbrodni przeciwko ludzkości, zbrodni wojennych, w tym morderstw i przestępstw seksualnych, zależeć będzie autorytet wymiaru sprawiedliwości sięgającego ponad granice poszczególnych krajów.","The prestige of the administration of cross-border justice really does depend on the Special Court for Sierra Leone sentencing Charles Taylor, the former President of Liberia, and on it investigating 17 allegations of crimes against humanity and war crimes, including murders and sexual offences."
636,"Należy w tym miejscu specjalnie podziękować dwóm krajom: Wielkiej Brytanii i Holandii, które szczególnie wspierają finansowo działalność trybunału.","I should like publicly to thank two countries from the floor of this House, namely the United Kingdom and the Netherlands, which have provided significant financial support for the Court's activities."
637,"Istotna rola przypadać też będzie ONZ, która nie może w tej sprawie zachowywać się jak Poncjusz Piłat i umywać rąk.",The United Nations also has an important role to play. It cannot behave like Pontius Pilate and simply wash its hands of the matter.
638,"Cieszę się, że w tej sprawie Parlament Europejski będzie mówił jednym głosem.",I am glad that the European Parliament will speak with one voice on this issue.
639,"w imieniu grupy PPE-DE. - Panie Przewodniczący! Sąd specjalny w Sierra Leone ma prawo liczyć na naszą szczególną uwagę, ponieważ słusznie jest przedstawiany jako nowy, prawie doskonały model dochodzenia sprawiedliwości.","on behalf of the PPE-DE Group. - Mr President, the Special Court for Sierra Leone is entitled to count on our particular attention, as it is rightly presented as a new and almost perfect model for the pursuit of justice."
640,"Co więcej jest dowodem na to, że międzynarodowy trybunał do spraw sądzenia zbrodni wojennych może być umiejscowiony w kraju, w którym zostały te zbrodnie popełnione, dając bezpośredni dostęp do sprawiedliwości lokalnej populacji, zachowując przy tym pełną efektywność przy znacznie niższych kosztach w porównaniu do swoich odpowiedników w innych regionach świata.","Furthermore, it has proved that an international court dealing with war crimes may be located in the country where those crimes were committed, thus allowing local people to have direct access to justice. In addition, if the Special Court for Sierra Leone is compared with similar bodies in other parts of the world, it can be seen that this arrangement has allowed the Court to be fully effective whilst incurring significantly lower costs."
641,"Po raz pierwszy w historii udało się skazać urzędującą głowę państwa afrykańskiego, Charlsa Taylora, za zbrodnie przeciwko ludności, jak również prawnie zdefiniować pojęcie dzieci żołnierzy i przymusowych małżeństw, aby było możliwe skazywanie winnych tych zbrodni.","For the first time in history an incumbent head of state of an African country, Charles Taylor, has been successfully convicted of crimes against humanity. It has also proved possible to establish a legal definition of the notion of child soldiers and forced marriages, so as to enable those guilty of such crimes to be convicted."
642,"Niestety sąd specjalny w Sierra Leone może przestać działać, ponieważ zaczyna brakować mu pieniędzy.",The Special Court for Sierra Leone may unfortunately have to cease its operations as it is running out of funds.
643,To kwota niespełna 90 milionów dolarów by procesy przeciwko największym zbrodniarzom były kontynuowane.,The sum required to allow proceedings against the most notorious criminals to continue is less than USD 90 million.
644,"Stąd zwracam się z apelem do wszystkich krajów członkowskich, a także do Komisji o jak najszybsze znalezienie finansów na wsparcie dla sądu specjalnego w Sierra Leone, gdyż w innym razie kontynuacja procesu pokojowego oraz rekoncyliacja w Sierra Leone i w całej Afryce Zachodniej staną pod wielkim znakiem zapytania.",I hereby call on all the Member States and on the Commission to provide funds to support the Special Court for Sierra Leone as soon as possible. Continuation of the peace process and reconciliation in Sierra Leone and the whole of West Africa will be seriously threatened if funding for the Court does not become available.
645,"w imieniu grupy PSE. - Panie Przewodniczący! Pani Komisarz! W pełni przyłączam się do wszystkich, którzy wzywają do dokończenia dzieła, do wymierzenia sprawiedliwości w Sierra Leone.","on behalf of the PSE Group. - Mr President, Commissioner, I fully support all those who have appealed for this job to be seen through to the end and for justice to de dispensed in Sierra Leone."
646,To jest konieczne.,This simply must happen.
647,"Przestępca nie może się czuć bezkarnie bez względu na to, czy znajduje się w Europie, czy w Afryce, czy w jakimkolwiek zakątku świata.","The perpetrators of crimes cannot be allowed to believe that they will enjoy impunity, regardless of where they may reside, be it in Europe, in Africa or in any other part of the world."
648,"Ale przy tej okazji chcę zwrócić uwagę na pewien problem, który moim zdaniem jest bardzo istotny: mamy bowiem kreowany także przez Organizację Narodów Zjednoczonych pewien zalew trybunałów, inflację trybunałów karnych.","I should, however, like to take this opportunity to highlight a particular problem, which I believe to be very significant. We are witnessing a proliferation of courts established by the United Nations, a kind of mushrooming of criminal courts."
649,"Powołany został do życia trybunał międzynarodowy w Rzymie, powołano do życia trybunał do osądzenia zbrodni w byłej Jugosławii, później do osądzenia zbrodni w Rwandzie, teraz mamy trybunał specjalny w Sierra Leone.","An International Criminal Court was set up in Rome. An International Criminal Tribunal to deal with the crimes that took place in the former Yugoslavia was also set up, and another to deal with the crimes committed in Rwanda."
650,"Wiem, że one są potrzebne, ale jeżeli powołuje się takie instytucje, muszą one mieć z góry zapewnione środki.","Now we have the Special Court for Sierra Leone. I appreciate that all these courts are necessary, but if they are to be established their funding must be guaranteed from the outset."
651,To jest warunek sine qua non.,That is a sine qua non.
652,Panie Przewodniczący! Jedna z katolickich szkół wyższych w Polsce stara się aktualnie o dotacje z Unii Europejskiej.,"Mr President, one of the Catholic institutions of higher education in Poland is currently applying for a grant from the European Union."
653,"Katolicyzm odegrał w naszej historii i nadal odgrywa szczególną rolę w walce o wolność z komunizmem i ogólnie dla rozwoju demokracji, można go nawet porównać do roli socjalizmu w Hiszpanii za czasów Franco.","In our country's history, the Catholic religion has played an important role in the fight for freedom during the Communist era and, in general, has acted for the development of democracy. One could even compare it to the role played by socialism in Franco's Spain."
654,Polski katolicyzm nigdy nie szkodził społeczności żydowskiej.,Polish Catholicism has never done anything to harm the Jewish people.
655,"Tymczasem słyszę, że Żydzi starają się te dotacje zablokować, interweniując u przewodniczącego Komisji Europejskiej.","However, I have heard that the Jewish people are trying to block this grant and have approached the President of the European Commission."
656,"To jest ingerencja w sprawy polskie i polską wrażliwość europejską, narodową i religijną.","This is interference in Polish affairs and in Polish sensitivities as regards Europe, the Polish nation and religion."
657,Unia powinna w tym względzie zaufać samym zainteresowanym Polakom i nie ulegać wpływowym lobby.,The European Union should put its trust in the Poles concerned and not bow to pressure from lobby groups.
658,"Panie Przewodniczący! Stocznia Gdańska dla nas, Polaków, to nie tylko kolebka ""Solidarności”, ale także symbol przemian o zasięgu zarówno krajowym, jak i międzynarodowym.","Mr President, for us Poles the Gdansk shipyard is not just the birthplace of 'Solidarity', it is also a symbol of the changes that have taken place both on a national and international level."
659,To także symbol wolności i partnerstwa.,It is also a symbol of freedom and partnership.
660,"Obecnie trwa konflikt między zarządem stoczni a Komisją Europejską, która domaga się gwałtownego zmniejszenia mocy produkcyjnej stoczni i zamknięcia dwóch pochylni, bądź też zwrotu pomocy publicznej.","At present there is a conflict between the Board of the shipyard and the European Commission, which is demanding a drastic reduction in the shipyard's capacity and the closure of two slipways, or else the refund of state aid."
661,"Dla publicznej wiadomości podam, że Stocznia Gdańska była beneficjentem, który otrzymał najmniejsze dofinansowanie lecz mimo tego, jako jedyny z nich, uzyskał dodatni wynik finansowy za pierwszą połowę tego roku.",I would like to make public here that the Gdansk shipyard was the beneficiary that received the lowest subsidies and despite that was the only one of them to make a profit in the first six months of this year.
662,"Gdyby stocznia ugięła się i przyjęła te warunki, to praktycznie jest to koniec tego symbolicznego, zasłużonego zakładu pracy.","If the shipyard were to give in and accept these conditions, then, practically speaking, this would be the end of this symbolic shipyard that has done so much to deserve assistance."
663,"Rada nadzorcza stoczni podjęła decyzję o podwyższeniu kapitału zakładowego o 300 milionów złotych, które zostałyby przeznaczone na dalsze inwestycje.","The supervisory board of the shipyard has decided to increase the initial capital by PLN 300 million, which would be allocated for additional investment."
664,Jest szansa uratowania tego zakładu.,It is still possible to save this shipyard.
665,"Myślę, że uratowanie tego zakładu jest honorem nie tylko Polaków, ale także już i Unii Europejskiej.","I believe that saving this workplace would be an honourable action not just for Poles, but also for the European Union."
666,Dziś razem z załogą zwracam się do panów posłów o złożenie podpisów na oświadczeniu nr 81 w sprawie przyszłości Stoczni Gdańskiej.,Today the workforce and I ask that the Members sign declaration no. 81 concerning the future of the Gdansk shipyard.
667,"I w sprawie formalnej, Panie Przewodniczący! Dwa zdania, jak mogę prosić, skoro jestem przy głosie.","In addition, on a formal issue, Mr President, could I say a couple of words since I have the floor?"
668,"Ja mam pytanie, kto panu Schulzowi powierzył funkcję cenzora?",I would like to ask who gave Mr Schulz the job of censor?
669,"Bo robi to niegrzecznie, niekulturalnie, przeszkadza w debacie, wchodzi poza kolejnością.","He does this job without politeness, without manners, he interferes in debates and speaks out of turn."
670,"I chcę powiedzieć, że akceptacji na sali w większości na pewno nie ma.",I would also add that he certainly does not have the majority behind him.
671,"Po pierwsze, słusznie autorka raportu zwraca uwagę, że najważniejszą kwestią - także dla przyszłości energii odnawialnej w Europie - jest wypracowanie wspólnej europejskiej polityki energetycznej.","First of all, the author of the report is right to say that the most important issue, also as regards the future of renewable energy in Europe, is to develop a common European energy policy."
672,"Niestety, w tym zakresie nie widać postępu, choć pojawiły się mgliste obietnice w sprawie wpisania tej polityki do traktatu reformującego Unię Europejską.","Unfortunately there does not appear to be any progress in this area, even though there have been some ill-defined promises about including this policy in the EU Reform Treaty."
673,"Polska, która na własnej skórze doświadcza skutków rozbieżności interesów w zakresie polityki energetycznej pomiędzy poszczególnymi krajami członkowskimi, choćby przez realizację inwestycji niemiecko-rosyjskiej gazociągu bałtyckiego, już blisko dwa lata temu przedstawiła na posiedzeniu Rady Unii Europejskiej główne zasady takiej wspólnej polityki energetycznej.","It is almost two years since Poland, which has already experienced the consequences of differing energy policy interests among individual Member States, for example with regard to the construction of the Russo-German Baltic gas pipeline, presented guiding principles for the creation of such a common energy policy at a meeting of the Council of the European Union."
674,"Niestety, w owym czasie ta propozycja nie wzbudziła zainteresowania, ponieważ szła pod prąd interesom najważniejszego kraju Unii, to znaczy Niemiec.","Unfortunately, at that time this proposal did not attract any interest, as it ran counter to the interests of the most important EU country, i.e. Germany."
675,"Chciałbym wyrazić nadzieję, że Komisja Europejska tym razem na serio zajmie się przygotowaniem takiej wspólnej polityki energetycznej.",I would like to express the hope that this time the European Commission will approach the task of preparing a common energy policy more seriously.
676,"Po drugie, aby wytwórcy różnych rodzajów energii odnawialnej mieli lepszy dostęp do sieci przesyłowych w poszczególnych krajach potrzebne jest oddzielenie operatorów sieci przesyłowych energii od produkcji energii.","Secondly, in order to allow producers of various types of renewable energy better access to the distribution network in different countries, it is vital to separate distribution grid operators from energy producers."
677,"Bez tego rozwiązania producenci energii z tradycyjnych surowców, jednocześnie będący właścicielami albo zarządzającymi sieciami przesyłowymi, nie będą zainteresowani ich udostępnieniem wytwórcom energii ze źródeł odnawialnych.","If we do not do this, then electricity producers using traditional sources that are also either the owners or controllers of transmission grids, will not want to make them available to those who produce energy from renewable sources."
678,"Ostatnie propozycje Komisji Europejskiej w tym zakresie spotkały się z gwałtownym sprzeciwem potężnych koncernów energetycznych, głównie z Francji i Niemiec.","The final proposals from the European Commission in this regard met with vigorous opposition from powerful energy interests, principally from France and Germany."
679,"Interesujące będzie dla nas, parlamentarzystów, jak Komisja Europejska z tym oporem sobie poradzi.",It will be interesting for us Members of the European Parliament to see how the European Commission deals with this opposition.
680,"Po trzecie, na uwagę i poparcie zasługuje cel strategiczny w zakresie stosowania energii odnawialnej, mianowicie produkcji 20% energii ze źródeł odnawialnych oraz osiągnięcia 20% efektywności energetycznej do 2020 r.","Thirdly, the strategic objectives for renewable energy, namely the generation of 20% of total energy from renewable sources and achieving a 20% energy efficiency improvement by 2020, are deserving of attention and support."
681,"Chciałbym wyrazić nadzieję, że aby zrealizować te ambitne cele Komisja Europejska zaproponuje odpowiednie instrumenty wsparcia nie tylko na poziomie unijnym, ale także krajów członkowskich.","I would like to express the hope that, in order to achieve these ambitious objectives, the European Commission will propose introducing appropriate support instruments not just at EU level, but also in Member States."
682,"Szczególnie chciałbym zwrócić uwagę na produkcję biopaliw, które nie tylko zwiększają poziom zużycia energii odnawialnej, ale także powodują przeznaczenie surowców rolniczych nie na produkcję żywności, a więc tym samym zmniejszają jej nadprodukcję.","I would like to draw particular attention to the production of bio fuels, which not only increase the amount of renewable energy used, but also mean that agricultural resources are not used only for the production of food, and in this way reduce overproduction."
683,"Nie zgadzam się tym samym z tezą autorki raportu, że produkcja biopaliw może powodować podwyżkę cen żywności i, tym samym, trzeba będzie bardziej otwierać rynek unijny na żywność pochodzącą z krajów trzecich.",By the same token I do not agree with the argument of the report's author that the production of bio fuels could result in an increase in food prices and that it will therefore be necessary to open the EU market to food coming from third countries.
684,"Panie Przewodniczący! Mapa drogowa na rzecz energii odnawialnej jest dokumentem ważnym, dzięki któremu można by pozyskiwać energię odnawialną.","Mr President, the road map for renewable energy is an important document, thanks to which it will be possible to obtain renewable energy."
685,Sprzyjającymi czynnikami w realizacji wymienionych zamierzeń może być stała podwyżka cen ropy i gazu.,The continuing increase in the prices of oil and gas could be helpful for the achievement of the objectives listed.
686,Unia Europejska posiada tylko około 2% światowych zasobów tych surowców.,The European Union has only about 2% of the world's gas and oil resources.
687,Gospodarka jej jest i będzie uzależniona od cen surowców i stabilizacji politycznej w regionach roponośnych.,Its economy is and will be dependent on the price of raw materials as well as political stability in oil-producing regions.
688,Dlatego założony wskaźnik 20% pozyskiwania energii ze źródeł odnawialnych wydaje się mało satysfakcjonujący.,For this reason the objective of 20% of energy from renewable sources seems unsatisfactory.
689,"W Unii Europejskiej należy prowadzić zróżnicowaną politykę w zakresie pozyskiwania energii, uwzględniającą różne możliwości pozyskania energii odnawialnej w różnych krajach i regionach, opracowanie lokalnych i regionalnych programów działania związanych z produkcją energii odnawialnej oraz jej oszczędnością, wspieranych przez samorządy, rządy i Unię Europejską.","The European Union should follow a diversification policy as regards the production of electricity, which should take into account the different possibilities of creating renewable energy in various countries and regions. Local and regional action plans need to be created for the production of renewable energy and for energy saving, and these should be supported by local government, national governments and the European Union."
690,Priorytetowo należy traktować programy prac badawczych związanych z energią.,Research programmes relating to energy production should be given priority.
691,"Również należy przewidzieć możliwość, w przypadkach koniecznych, rozwoju energetyki atomowej, która ogranicza emisję CO2.","Also, where necessary, the possibility of developing nuclear power, which reduces CO2 emissions, should also be taken into consideration."
692,"Dziękuję sprawozdawcy, pani Britcie Thomsen, za bardzo wnikliwe sprawozdanie.","I would like to thank the rapporteur, Mrs Thomsen for a very far-reaching report."
693,Zamykam debatę.,The debate is closed.
694,"Głosowanie odbędzie się we wtorek, 25 września 2007 r.","The vote will take place on Tuesday, 25 September 2007."
695,Oświadczenia pisemne (art. 142),Written declarations (Rule 142)
696,Kolejnym punktem porządku dziennego jest wspólna debata nad,The next item is a joint debate on
697,"sprawozdaniem sporządzonym przez Georga Jarzembowskiego w imieniu Delegacji Parlamentu Europejskiego do komitetu pojednawczego w sprawie wspólnego tekstu, zatwierdzonego przez komitet pojednawczy, dyrektywy Parlamentu Europejskiego i Rady zmieniającej dyrektywę Rady 91/440/EWG w sprawie rozwoju kolei wspólnotowych oraz dyrektywy 2001/14/WE Parlamentu Europejskiego i Rady w sprawie alokacji zdolności przepustowej infrastruktury kolejowej i pobierania opłat za użytkowanie infrastruktury kolejowej (PE-CONS 3635/2007 - -, oraz","the report by Georg Jarzembowski on behalf of the European Parliament Delegation to the Conciliation Committee on the joint text approved by the Conciliation Committee for a directive of the European Parliament and of the Council amending Council Directive 91/440/EEC on the development of the Community's railways and Directive 2001/14/EEC of the European Parliament and of the Council on the allocation of railway infrastructure capacity and the levying of charges for the use of railway infrastructure (PE-CONS 3635/2007 - -, and"
698,"sprawozdaniem sporządzonym przez Gilles'a Savary'ego w imieniu Delegacji Parlamentu Europejskiego do komitetu pojednawczego w sprawie wspólnego tekstu, zatwierdzonego przez komitet pojednawczy, dyrektywy Parlamentu Europejskiego i Rady w sprawie przyznawania uprawnień maszynistom prowadzącym lokomotywy i pociągi w obrębie systemu kolejowego Wspólnoty (PE-CONS 3636/2007 - -, oraz",the report by Gilles Savary on behalf of the European Parliament Delegation to the Conciliation Committee on the joint text approved by the Conciliation Committee for a directive of the European Parliament and of the Council on the certification of train drivers operating locomotives and trains on the railway system in the Community (PE-CONS 3636/2007 - - and
699,"sprawozdaniem sporządzonym przez Dirka Sterckxa w imieniu Delegacji Parlamentu Europejskiego do komitetu pojednawczego w sprawie wspólnego tekstu, zatwierdzonego przez komitet pojednawczy, rozporządzenia Parlamentu Europejskiego i Rady dotyczącego praw i obowiązków pasażerów w międzynarodowym ruchu kolejowym (PE-CONS 3637/2007 - -.",the report by Dirk Sterckx on behalf of the European Parliament Delegation to the Conciliation Committee on the joint text approved by the Conciliation Committee for a directive of the European Parliament and of the Council on rail passengers' rights and obligations (PE-CONS 3637/2007 - -.
700,"w imieniu grupy PSE. - Panie Przewodniczący! Panie Komisarzu Barrot! Może zacznę w ten sposób, że naszym celem w Parlamencie Europejskim, w Unii Europejskiej, jest dobrze służyć naszym obywatelom, a w zakresie polityki transportowej próbować rzeczywiście nadać nowe szanse rozwojowe, nowego ducha rozwojowego kolei, nadając jej charakter oraz kształt przedsiębiorczości i nowe szanse rozwoju rynkowego.","on behalf of the PSE Group. - Mr President, Commissioner Barrot, perhaps I could start by saying that our objective in the European Parliament and in the European Union is to serve the people well and, as regards transport policy, to try to provide some genuine opportunities for growth, to give railways a new culture of growth and development, giving them an entrepreneurial nature and organisation and new opportunities for market growth."
701,Przedkładany pakiet spełnia te dwa zasadnicze cele.,The package that has been presented to us fulfils these two fundamental objectives.
